date, psychopy_version, exp_version, face_version, house_version, subject, block, trial, image, actual_val, input_val, rt, error, total_error, accuracy, min_accuracy
2019_Mar_13_0230,3.0.2,3.1.0,1,1,997,1,0,faceMorph004.jpg,0.92,0.80,4.823,0.12,0.12,88.00,70.00
2019_Mar_13_0230,3.0.2,3.1.0,1,1,997,1,1,houseMorph053.jpg,-0.06,-0.05,4.158,0.01,0.13,93.50,70.00
2019_Mar_13_0230,3.0.2,3.1.0,1,1,997,1,2,faceMorph026.jpg,0.48,0.10,3.058,0.38,0.51,83.00,70.00
2019_Mar_13_0230,3.0.2,3.1.0,1,1,997,1,3,houseMorph096.jpg,-0.92,-0.90,2.125,0.02,0.53,86.75,70.00
2019_Mar_13_0230,3.0.2,3.1.0,1,1,997,1,4,faceMorph035.jpg,0.30,0.20,3.421,0.10,0.63,87.40,70.00
2019_Mar_13_0230,3.0.2,3.1.0,1,1,997,1,5,houseMorph003.jpg,0.94,0.80,2.678,0.14,0.77,87.17,70.00
2019_Mar_13_0230,3.0.2,3.1.0,1,1,997,1,6,faceMorph081.jpg,-0.62,-0.75,4.854,0.13,0.90,87.14,70.00
2019_Mar_13_0230,3.0.2,3.1.0,1,1,997,1,7,houseMorph096.jpg,-0.92,-0.80,9.530,0.12,1.02,87.25,70.00
2019_Mar_13_0230,3.0.2,3.1.0,1,1,997,1,8,faceMorph033.jpg,0.34,0.15,3.587,0.19,1.21,86.56,70.00
2019_Mar_13_0230,3.0.2,3.1.0,1,1,997,1,9,houseMorph071.jpg,-0.42,-0.33,3.291,0.09,1.30,87.00,70.00
2019_Mar_13_0230,3.0.2,3.1.0,1,1,997,1,10,faceMorph009.jpg,0.82,0.65,4.417,0.17,1.47,86.64,70.00
2019_Mar_13_0230,3.0.2,3.1.0,1,1,997,1,11,houseMorph003.jpg,0.94,0.87,3.024,0.07,1.54,87.17,70.00
2019_Mar_13_0230,3.0.2,3.1.0,1,1,997,1,12,faceMorph022.jpg,0.56,0.66,4.729,0.10,1.64,87.38,70.00
2019_Mar_13_0230,3.0.2,3.1.0,1,1,997,1,13,houseMorph007.jpg,0.86,0.78,3.134,0.08,1.72,87.71,70.00
2019_Mar_13_0230,3.0.2,3.1.0,1,1,997,1,14,faceMorph073.jpg,-0.46,-0.66,3.594,0.20,1.92,87.20,70.00
2019_Mar_13_0230,3.0.2,3.1.0,1,1,997,1,15,houseMorph057.jpg,-0.14,-0.05,4.480,0.09,2.01,87.44,70.00
2019_Mar_13_0230,3.0.2,3.1.0,1,1,997,1,16,faceMorph074.jpg,-0.48,0.65,3.391,1.13,3.14,81.53,70.00
2019_Mar_13_0230,3.0.2,3.1.0,1,1,997,1,17,houseMorph056.jpg,-0.12,0.00,5.359,0.12,3.26,81.89,70.00
2019_Mar_13_0230,3.0.2,3.1.0,1,1,997,1,18,faceMorph041.jpg,0.18,0.15,3.891,0.03,3.29,82.68,70.00
2019_Mar_13_0230,3.0.2,3.1.0,1,1,997,1,19,houseMorph062.jpg,-0.24,-0.14,3.228,0.10,3.39,83.05,70.00
2019_Mar_13_0230,3.0.2,3.1.0,1,1,997,1,20,faceMorph055.jpg,-0.10,0.10,2.885,0.20,3.59,82.90,70.00
2019_Mar_13_0230,3.0.2,3.1.0,1,1,997,1,21,houseMorph056.jpg,-0.12,-0.10,3.262,0.02,3.61,83.59,70.00
2019_Mar_13_0230,3.0.2,3.1.0,1,1,997,1,22,faceMorph028.jpg,0.44,0.45,2.917,0.01,3.62,84.26,70.00
2019_Mar_13_0230,3.0.2,3.1.0,1,1,997,1,23,houseMorph090.jpg,-0.80,-0.56,7.816,0.24,3.86,83.92,70.00
2019_Mar_13_0230,3.0.2,3.1.0,1,1,997,1,24,faceMorph091.jpg,-0.82,-0.77,4.143,0.05,3.91,84.36,70.00
