date, psychopy_version, exp_version, face_version, house_version, left, subject, block, trial, rt, response, correct, summed_val_total, face_image, face_val_base, face_mult, face_val_total, house_image, house_val_base, house_mult, house_val_total, fix_num, fix_rt, fix_stim, fix_num_total, accuracy, payout
2019_Mar_13_0230,3.0.2,3.1.0,1,1,face,997,1,101,3.132,1,1,1.34,faceMorph027.jpg,0.46,1.00,0.46,houseMorph006.jpg,0.88,1.00,0.88,0,0.748,weights,5,1.00,50
2019_Mar_13_0230,3.0.2,3.1.0,1,1,face,997,1,101,3.132,1,1,1.34,faceMorph027.jpg,0.46,1.00,0.46,houseMorph006.jpg,0.88,1.00,0.88,1,1.067,left,5,1.00,50
2019_Mar_13_0230,3.0.2,3.1.0,1,1,face,997,1,101,3.132,1,1,1.34,faceMorph027.jpg,0.46,1.00,0.46,houseMorph006.jpg,0.88,1.00,0.88,2,0.133,weights,5,1.00,50
2019_Mar_13_0230,3.0.2,3.1.0,1,1,face,997,1,101,3.132,1,1,1.34,faceMorph027.jpg,0.46,1.00,0.46,houseMorph006.jpg,0.88,1.00,0.88,3,0.950,right,5,1.00,50
2019_Mar_13_0230,3.0.2,3.1.0,1,1,face,997,1,101,3.132,1,1,1.34,faceMorph027.jpg,0.46,1.00,0.46,houseMorph006.jpg,0.88,1.00,0.88,4,0.233,weights,5,1.00,50
2019_Mar_13_0230,3.0.2,3.1.0,1,1,face,997,1,102,2.767,0,1,-1.92,faceMorph077.jpg,-0.54,3.00,-1.62,houseMorph080.jpg,-0.60,0.50,-0.30,0,0.749,weights,5,1.00,50
2019_Mar_13_0230,3.0.2,3.1.0,1,1,face,997,1,102,2.767,0,1,-1.92,faceMorph077.jpg,-0.54,3.00,-1.62,houseMorph080.jpg,-0.60,0.50,-0.30,1,1.018,left,5,1.00,50
2019_Mar_13_0230,3.0.2,3.1.0,1,1,face,997,1,102,2.767,0,1,-1.92,faceMorph077.jpg,-0.54,3.00,-1.62,houseMorph080.jpg,-0.60,0.50,-0.30,2,0.133,weights,5,1.00,50
2019_Mar_13_0230,3.0.2,3.1.0,1,1,face,997,1,102,2.767,0,1,-1.92,faceMorph077.jpg,-0.54,3.00,-1.62,houseMorph080.jpg,-0.60,0.50,-0.30,3,0.717,right,5,1.00,50
2019_Mar_13_0230,3.0.2,3.1.0,1,1,face,997,1,102,2.767,0,1,-1.92,faceMorph077.jpg,-0.54,3.00,-1.62,houseMorph080.jpg,-0.60,0.50,-0.30,4,0.150,weights,5,1.00,50
2019_Mar_13_0230,3.0.2,3.1.0,1,1,face,997,1,103,2.717,0,1,-0.08,faceMorph092.jpg,-0.84,1.00,-0.84,houseMorph012.jpg,0.76,1.00,0.76,0,0.450,weights,5,1.00,50
2019_Mar_13_0230,3.0.2,3.1.0,1,1,face,997,1,103,2.717,0,1,-0.08,faceMorph092.jpg,-0.84,1.00,-0.84,houseMorph012.jpg,0.76,1.00,0.76,1,0.900,left,5,1.00,50
2019_Mar_13_0230,3.0.2,3.1.0,1,1,face,997,1,103,2.717,0,1,-0.08,faceMorph092.jpg,-0.84,1.00,-0.84,houseMorph012.jpg,0.76,1.00,0.76,2,0.283,weights,5,1.00,50
2019_Mar_13_0230,3.0.2,3.1.0,1,1,face,997,1,103,2.717,0,1,-0.08,faceMorph092.jpg,-0.84,1.00,-0.84,houseMorph012.jpg,0.76,1.00,0.76,3,0.917,right,5,1.00,50
2019_Mar_13_0230,3.0.2,3.1.0,1,1,face,997,1,103,2.717,0,1,-0.08,faceMorph092.jpg,-0.84,1.00,-0.84,houseMorph012.jpg,0.76,1.00,0.76,4,0.166,weights,5,1.00,50
2019_Mar_13_0230,3.0.2,3.1.0,1,1,face,997,1,104,2.632,1,1,1.08,faceMorph022.jpg,0.56,3.00,1.68,houseMorph060.jpg,-0.20,3.00,-0.60,0,0.432,weights,5,1.00,50
2019_Mar_13_0230,3.0.2,3.1.0,1,1,face,997,1,104,2.632,1,1,1.08,faceMorph022.jpg,0.56,3.00,1.68,houseMorph060.jpg,-0.20,3.00,-0.60,1,1.000,left,5,1.00,50
2019_Mar_13_0230,3.0.2,3.1.0,1,1,face,997,1,104,2.632,1,1,1.08,faceMorph022.jpg,0.56,3.00,1.68,houseMorph060.jpg,-0.20,3.00,-0.60,2,0.199,weights,5,1.00,50
2019_Mar_13_0230,3.0.2,3.1.0,1,1,face,997,1,104,2.632,1,1,1.08,faceMorph022.jpg,0.56,3.00,1.68,houseMorph060.jpg,-0.20,3.00,-0.60,3,0.884,right,5,1.00,50
2019_Mar_13_0230,3.0.2,3.1.0,1,1,face,997,1,104,2.632,1,1,1.08,faceMorph022.jpg,0.56,3.00,1.68,houseMorph060.jpg,-0.20,3.00,-0.60,4,0.117,weights,5,1.00,50
2019_Mar_13_0230,3.0.2,3.1.0,1,1,face,997,1,105,2.600,1,1,0.27,faceMorph004.jpg,0.92,0.33,0.30,houseMorph068.jpg,-0.36,0.10,-0.04,0,0.400,weights,5,1.00,50
2019_Mar_13_0230,3.0.2,3.1.0,1,1,face,997,1,105,2.600,1,1,0.27,faceMorph004.jpg,0.92,0.33,0.30,houseMorph068.jpg,-0.36,0.10,-0.04,1,0.950,left,5,1.00,50
2019_Mar_13_0230,3.0.2,3.1.0,1,1,face,997,1,105,2.600,1,1,0.27,faceMorph004.jpg,0.92,0.33,0.30,houseMorph068.jpg,-0.36,0.10,-0.04,2,0.165,weights,5,1.00,50
2019_Mar_13_0230,3.0.2,3.1.0,1,1,face,997,1,105,2.600,1,1,0.27,faceMorph004.jpg,0.92,0.33,0.30,houseMorph068.jpg,-0.36,0.10,-0.04,3,1.018,right,5,1.00,50
2019_Mar_13_0230,3.0.2,3.1.0,1,1,face,997,1,105,2.600,1,1,0.27,faceMorph004.jpg,0.92,0.33,0.30,houseMorph068.jpg,-0.36,0.10,-0.04,4,0.067,weights,5,1.00,50
