date, psychopy_version, exp_version, face_version, house_version, left, subject, block, trial, rt, response, correct, summed_val_total, face_image, face_val_base, face_mult, face_val_total, house_image, house_val_base, house_mult, house_val_total, fix_num, fix_rt, fix_stim, fix_num_total, accuracy, tp_rt, payout
2019_Mar_13_1913,3.0.2,3.1.0,1,0,house,998,0,0,3.497,1,0,-0.72,faceMorph091.jpg,-0.82,2.00,-1.64,houseMorph073.jpg,0.46,2.00,0.92,0,1.065,weights,7,0.00,4.21,0
2019_Mar_13_1913,3.0.2,3.1.0,1,0,house,998,0,0,3.497,1,0,-0.72,faceMorph091.jpg,-0.82,2.00,-1.64,houseMorph073.jpg,0.46,2.00,0.92,1,0.934,left,7,0.00,4.21,0
2019_Mar_13_1913,3.0.2,3.1.0,1,0,house,998,0,0,3.497,1,0,-0.72,faceMorph091.jpg,-0.82,2.00,-1.64,houseMorph073.jpg,0.46,2.00,0.92,2,0.164,weights,7,0.00,4.21,0
2019_Mar_13_1913,3.0.2,3.1.0,1,0,house,998,0,0,3.497,1,0,-0.72,faceMorph091.jpg,-0.82,2.00,-1.64,houseMorph073.jpg,0.46,2.00,0.92,3,0.936,right,7,0.00,4.21,0
2019_Mar_13_1913,3.0.2,3.1.0,1,0,house,998,0,0,3.497,1,0,-0.72,faceMorph091.jpg,-0.82,2.00,-1.64,houseMorph073.jpg,0.46,2.00,0.92,4,0.032,weights,7,0.00,4.21,0
2019_Mar_13_1913,3.0.2,3.1.0,1,0,house,998,0,0,3.497,1,0,-0.72,faceMorph091.jpg,-0.82,2.00,-1.64,houseMorph073.jpg,0.46,2.00,0.92,5,0.234,left,7,0.00,4.21,0
2019_Mar_13_1913,3.0.2,3.1.0,1,0,house,998,0,0,3.497,1,0,-0.72,faceMorph091.jpg,-0.82,2.00,-1.64,houseMorph073.jpg,0.46,2.00,0.92,6,0.134,weights,7,0.00,4.21,0
2019_Mar_13_1913,3.0.2,3.1.0,1,0,house,998,0,1,4.233,2,0,-0.26,faceMorph077.jpg,-0.54,1.00,-0.54,houseMorph064.jpg,0.28,1.00,0.28,0,0.366,weights,8,0.00,4.21,0
2019_Mar_13_1913,3.0.2,3.1.0,1,0,house,998,0,1,4.233,2,0,-0.26,faceMorph077.jpg,-0.54,1.00,-0.54,houseMorph064.jpg,0.28,1.00,0.28,1,0.983,left,8,0.00,4.21,0
2019_Mar_13_1913,3.0.2,3.1.0,1,0,house,998,0,1,4.233,2,0,-0.26,faceMorph077.jpg,-0.54,1.00,-0.54,houseMorph064.jpg,0.28,1.00,0.28,2,0.166,weights,8,0.00,4.21,0
2019_Mar_13_1913,3.0.2,3.1.0,1,0,house,998,0,1,4.233,2,0,-0.26,faceMorph077.jpg,-0.54,1.00,-0.54,houseMorph064.jpg,0.28,1.00,0.28,3,1.084,right,8,0.00,4.21,0
2019_Mar_13_1913,3.0.2,3.1.0,1,0,house,998,0,1,4.233,2,0,-0.26,faceMorph077.jpg,-0.54,1.00,-0.54,houseMorph064.jpg,0.28,1.00,0.28,4,0.283,weights,8,0.00,4.21,0
2019_Mar_13_1913,3.0.2,3.1.0,1,0,house,998,0,1,4.233,2,0,-0.26,faceMorph077.jpg,-0.54,1.00,-0.54,houseMorph064.jpg,0.28,1.00,0.28,5,0.866,left,8,0.00,4.21,0
2019_Mar_13_1913,3.0.2,3.1.0,1,0,house,998,0,1,4.233,2,0,-0.26,faceMorph077.jpg,-0.54,1.00,-0.54,houseMorph064.jpg,0.28,1.00,0.28,6,0.251,weights,8,0.00,4.21,0
2019_Mar_13_1913,3.0.2,3.1.0,1,0,house,998,0,1,4.233,2,0,-0.26,faceMorph077.jpg,-0.54,1.00,-0.54,houseMorph064.jpg,0.28,1.00,0.28,7,0.233,right,8,0.00,4.21,0
2019_Mar_13_1913,3.0.2,3.1.0,1,0,house,998,0,2,2.699,1,1,0.36,faceMorph016.jpg,0.68,2.00,1.36,houseMorph045.jpg,-0.10,10.00,-1.00,0,0.431,weights,5,0.33,4.21,0
2019_Mar_13_1913,3.0.2,3.1.0,1,0,house,998,0,2,2.699,1,1,0.36,faceMorph016.jpg,0.68,2.00,1.36,houseMorph045.jpg,-0.10,10.00,-1.00,1,0.934,left,5,0.33,4.21,0
2019_Mar_13_1913,3.0.2,3.1.0,1,0,house,998,0,2,2.699,1,1,0.36,faceMorph016.jpg,0.68,2.00,1.36,houseMorph045.jpg,-0.10,10.00,-1.00,2,0.133,weights,5,0.33,4.21,0
2019_Mar_13_1913,3.0.2,3.1.0,1,0,house,998,0,2,2.699,1,1,0.36,faceMorph016.jpg,0.68,2.00,1.36,houseMorph045.jpg,-0.10,10.00,-1.00,3,0.883,right,5,0.33,4.21,0
2019_Mar_13_1913,3.0.2,3.1.0,1,0,house,998,0,2,2.699,1,1,0.36,faceMorph016.jpg,0.68,2.00,1.36,houseMorph045.jpg,-0.10,10.00,-1.00,4,0.317,weights,5,0.33,4.21,0
