date, psychopy_version, exp_version, face_version, house_version, left, subject, block, trial, rt, response, correct, summed_val_total, face_image, face_val_base, face_mult, face_val_total, house_image, house_val_base, house_mult, house_val_total, fix_num, fix_rt, fix_stim, accuracy
2019_Feb_12_1611,3.0.2,3.0.2,0,1,face,999,0,0,4.517,0,1,-0.68,faceMorph023.jpg,-0.54,1.00,-0.54,houseMorph057.jpg,-0.14,1.00,-0.14,0,0.596,weights,1.00
2019_Feb_12_1611,3.0.2,3.0.2,0,1,face,999,0,0,4.517,0,1,-0.68,faceMorph023.jpg,-0.54,1.00,-0.54,houseMorph057.jpg,-0.14,1.00,-0.14,1,0.536,left,1.00
2019_Feb_12_1611,3.0.2,3.0.2,0,1,face,999,0,0,4.517,0,1,-0.68,faceMorph023.jpg,-0.54,1.00,-0.54,houseMorph057.jpg,-0.14,1.00,-0.14,2,0.201,weights,1.00
2019_Feb_12_1611,3.0.2,3.0.2,0,1,face,999,0,0,4.517,0,1,-0.68,faceMorph023.jpg,-0.54,1.00,-0.54,houseMorph057.jpg,-0.14,1.00,-0.14,3,0.664,right,1.00
2019_Feb_12_1611,3.0.2,3.0.2,0,1,face,999,0,0,4.517,0,1,-0.68,faceMorph023.jpg,-0.54,1.00,-0.54,houseMorph057.jpg,-0.14,1.00,-0.14,4,0.134,weights,1.00
2019_Feb_12_1611,3.0.2,3.0.2,0,1,face,999,0,0,4.517,0,1,-0.68,faceMorph023.jpg,-0.54,1.00,-0.54,houseMorph057.jpg,-0.14,1.00,-0.14,5,0.618,left,1.00
2019_Feb_12_1611,3.0.2,3.0.2,0,1,face,999,0,0,4.517,0,1,-0.68,faceMorph023.jpg,-0.54,1.00,-0.54,houseMorph057.jpg,-0.14,1.00,-0.14,6,0.097,weights,1.00
2019_Feb_12_1611,3.0.2,3.0.2,0,1,face,999,0,0,4.517,0,1,-0.68,faceMorph023.jpg,-0.54,1.00,-0.54,houseMorph057.jpg,-0.14,1.00,-0.14,7,0.636,right,1.00
2019_Feb_12_1611,3.0.2,3.0.2,0,1,face,999,0,0,4.517,0,1,-0.68,faceMorph023.jpg,-0.54,1.00,-0.54,houseMorph057.jpg,-0.14,1.00,-0.14,8,0.101,weights,1.00
2019_Feb_12_1611,3.0.2,3.0.2,0,1,face,999,0,0,4.517,0,1,-0.68,faceMorph023.jpg,-0.54,1.00,-0.54,houseMorph057.jpg,-0.14,1.00,-0.14,9,0.266,left,1.00
2019_Feb_12_1611,3.0.2,3.0.2,0,1,face,999,0,0,4.517,0,1,-0.68,faceMorph023.jpg,-0.54,1.00,-0.54,houseMorph057.jpg,-0.14,1.00,-0.14,10,0.668,weights,1.00
2019_Feb_12_1611,3.0.2,3.0.2,0,1,face,999,0,1,1.948,0,0,1.37,faceMorph036.jpg,-0.28,0.10,-0.03,houseMorph043.jpg,0.14,10.00,1.40,0,0.499,weights,0.50
2019_Feb_12_1611,3.0.2,3.0.2,0,1,face,999,0,1,1.948,0,0,1.37,faceMorph036.jpg,-0.28,0.10,-0.03,houseMorph043.jpg,0.14,10.00,1.40,1,0.483,left,0.50
2019_Feb_12_1611,3.0.2,3.0.2,0,1,face,999,0,1,1.948,0,0,1.37,faceMorph036.jpg,-0.28,0.10,-0.03,houseMorph043.jpg,0.14,10.00,1.40,2,0.098,weights,0.50
2019_Feb_12_1611,3.0.2,3.0.2,0,1,face,999,0,1,1.948,0,0,1.37,faceMorph036.jpg,-0.28,0.10,-0.03,houseMorph043.jpg,0.14,10.00,1.40,3,0.703,right,0.50
2019_Feb_12_1611,3.0.2,3.0.2,0,1,face,999,0,1,1.948,0,0,1.37,faceMorph036.jpg,-0.28,0.10,-0.03,houseMorph043.jpg,0.14,10.00,1.40,4,0.165,weights,0.50
2019_Feb_12_1611,3.0.2,3.0.2,0,1,face,999,0,2,2.000,0,1,-0.33,faceMorph053.jpg,0.06,0.50,0.03,houseMorph068.jpg,-0.36,1.00,-0.36,0,0.348,weights,0.67
2019_Feb_12_1611,3.0.2,3.0.2,0,1,face,999,0,2,2.000,0,1,-0.33,faceMorph053.jpg,0.06,0.50,0.03,houseMorph068.jpg,-0.36,1.00,-0.36,1,0.449,left,0.67
2019_Feb_12_1611,3.0.2,3.0.2,0,1,face,999,0,2,2.000,0,1,-0.33,faceMorph053.jpg,0.06,0.50,0.03,houseMorph068.jpg,-0.36,1.00,-0.36,2,0.119,weights,0.67
2019_Feb_12_1611,3.0.2,3.0.2,0,1,face,999,0,2,2.000,0,1,-0.33,faceMorph053.jpg,0.06,0.50,0.03,houseMorph068.jpg,-0.36,1.00,-0.36,3,0.750,right,0.67
2019_Feb_12_1611,3.0.2,3.0.2,0,1,face,999,0,2,2.000,0,1,-0.33,faceMorph053.jpg,0.06,0.50,0.03,houseMorph068.jpg,-0.36,1.00,-0.36,4,0.333,weights,0.67
