date, psychopy_version, exp_version, face_version, house_version, left, subject, block, trial, rt, response, correct, summed_val_total, face_image, face_val_base, face_mult, face_val_total, house_image, house_val_base, house_mult, house_val_total, fix_num, fix_rt, fix_stim, fix_num_total, accuracy, payout
2019_Mar_13_0110,3.0.2,3.1.0,0,1,face,999,0,0,3.586,1,1,3.48,faceMorph066.jpg,0.32,10.00,3.20,houseMorph008.jpg,0.84,0.33,0.28,0,1.215,weights,5,1.00,0
2019_Mar_13_0110,3.0.2,3.1.0,0,1,face,999,0,0,3.586,1,1,3.48,faceMorph066.jpg,0.32,10.00,3.20,houseMorph008.jpg,0.84,0.33,0.28,1,1.033,left,5,1.00,0
2019_Mar_13_0110,3.0.2,3.1.0,0,1,face,999,0,0,3.586,1,1,3.48,faceMorph066.jpg,0.32,10.00,3.20,houseMorph008.jpg,0.84,0.33,0.28,2,0.117,weights,5,1.00,0
2019_Mar_13_0110,3.0.2,3.1.0,0,1,face,999,0,0,3.586,1,1,3.48,faceMorph066.jpg,0.32,10.00,3.20,houseMorph008.jpg,0.84,0.33,0.28,3,1.072,right,5,1.00,0
2019_Mar_13_0110,3.0.2,3.1.0,0,1,face,999,0,0,3.586,1,1,3.48,faceMorph066.jpg,0.32,10.00,3.20,houseMorph008.jpg,0.84,0.33,0.28,4,0.149,weights,5,1.00,0
2019_Mar_13_0110,3.0.2,3.1.0,0,1,face,999,0,1,3.870,0,1,-0.62,faceMorph013.jpg,-0.74,1.00,-0.74,houseMorph044.jpg,0.12,1.00,0.12,0,0.835,weights,5,1.00,0
2019_Mar_13_0110,3.0.2,3.1.0,0,1,face,999,0,1,3.870,0,1,-0.62,faceMorph013.jpg,-0.74,1.00,-0.74,houseMorph044.jpg,0.12,1.00,0.12,1,1.284,left,5,1.00,0
2019_Mar_13_0110,3.0.2,3.1.0,0,1,face,999,0,1,3.870,0,1,-0.62,faceMorph013.jpg,-0.74,1.00,-0.74,houseMorph044.jpg,0.12,1.00,0.12,2,0.282,weights,5,1.00,0
2019_Mar_13_0110,3.0.2,3.1.0,0,1,face,999,0,1,3.870,0,1,-0.62,faceMorph013.jpg,-0.74,1.00,-0.74,houseMorph044.jpg,0.12,1.00,0.12,3,1.302,right,5,1.00,0
2019_Mar_13_0110,3.0.2,3.1.0,0,1,face,999,0,1,3.870,0,1,-0.62,faceMorph013.jpg,-0.74,1.00,-0.74,houseMorph044.jpg,0.12,1.00,0.12,4,0.167,weights,5,1.00,0
2019_Mar_13_0110,3.0.2,3.1.0,0,1,face,999,0,2,2.917,1,1,0.88,faceMorph088.jpg,0.76,1.00,0.76,houseMorph044.jpg,0.12,1.00,0.12,0,0.449,weights,5,1.00,0
2019_Mar_13_0110,3.0.2,3.1.0,0,1,face,999,0,2,2.917,1,1,0.88,faceMorph088.jpg,0.76,1.00,0.76,houseMorph044.jpg,0.12,1.00,0.12,1,1.051,left,5,1.00,0
2019_Mar_13_0110,3.0.2,3.1.0,0,1,face,999,0,2,2.917,1,1,0.88,faceMorph088.jpg,0.76,1.00,0.76,houseMorph044.jpg,0.12,1.00,0.12,2,0.133,weights,5,1.00,0
2019_Mar_13_0110,3.0.2,3.1.0,0,1,face,999,0,2,2.917,1,1,0.88,faceMorph088.jpg,0.76,1.00,0.76,houseMorph044.jpg,0.12,1.00,0.12,3,1.184,right,5,1.00,0
2019_Mar_13_0110,3.0.2,3.1.0,0,1,face,999,0,2,2.917,1,1,0.88,faceMorph088.jpg,0.76,1.00,0.76,houseMorph044.jpg,0.12,1.00,0.12,4,0.100,weights,5,1.00,0
2019_Mar_13_0110,3.0.2,3.1.0,0,1,face,999,0,3,2.833,1,1,0.88,faceMorph088.jpg,0.76,1.00,0.76,houseMorph044.jpg,0.12,1.00,0.12,0,0.449,weights,5,1.00,0
2019_Mar_13_0110,3.0.2,3.1.0,0,1,face,999,0,3,2.833,1,1,0.88,faceMorph088.jpg,0.76,1.00,0.76,houseMorph044.jpg,0.12,1.00,0.12,1,1.051,left,5,1.00,0
2019_Mar_13_0110,3.0.2,3.1.0,0,1,face,999,0,3,2.833,1,1,0.88,faceMorph088.jpg,0.76,1.00,0.76,houseMorph044.jpg,0.12,1.00,0.12,2,0.133,weights,5,1.00,0
2019_Mar_13_0110,3.0.2,3.1.0,0,1,face,999,0,3,2.833,1,1,0.88,faceMorph088.jpg,0.76,1.00,0.76,houseMorph044.jpg,0.12,1.00,0.12,3,1.050,right,5,1.00,0
2019_Mar_13_0110,3.0.2,3.1.0,0,1,face,999,0,3,2.833,1,1,0.88,faceMorph088.jpg,0.76,1.00,0.76,houseMorph044.jpg,0.12,1.00,0.12,4,0.149,weights,5,1.00,0
2019_Mar_13_0110,3.0.2,3.1.0,0,1,face,999,0,4,2.871,1,1,0.36,faceMorph073.jpg,0.46,1.00,0.46,houseMorph055.jpg,-0.10,1.00,-0.10,0,0.499,weights,5,1.00,0
2019_Mar_13_0110,3.0.2,3.1.0,0,1,face,999,0,4,2.871,1,1,0.36,faceMorph073.jpg,0.46,1.00,0.46,houseMorph055.jpg,-0.10,1.00,-0.10,1,1.017,left,5,1.00,0
2019_Mar_13_0110,3.0.2,3.1.0,0,1,face,999,0,4,2.871,1,1,0.36,faceMorph073.jpg,0.46,1.00,0.46,houseMorph055.jpg,-0.10,1.00,-0.10,2,0.184,weights,5,1.00,0
2019_Mar_13_0110,3.0.2,3.1.0,0,1,face,999,0,4,2.871,1,1,0.36,faceMorph073.jpg,0.46,1.00,0.46,houseMorph055.jpg,-0.10,1.00,-0.10,3,1.087,right,5,1.00,0
2019_Mar_13_0110,3.0.2,3.1.0,0,1,face,999,0,4,2.871,1,1,0.36,faceMorph073.jpg,0.46,1.00,0.46,houseMorph055.jpg,-0.10,1.00,-0.10,4,0.084,weights,5,1.00,0
