date, psychopy_version, exp_version, face_version, house_version, left, subject, block, trial, rt, response, correct, summed_val_total, face_image, face_val_base, face_mult, face_val_total, house_image, house_val_base, house_mult, house_val_total, fix_num, fix_rt, fix_stim, accuracy
2019_Feb_12_1427,3.0.2,3.0.2,0,1,face,999,0,0,2.431,1,1,0.84,faceMorph060.jpg,0.20,2.00,0.40,houseMorph039.jpg,0.22,2.00,0.44,0,0.698,weights,1.00,50
2019_Feb_12_1427,3.0.2,3.0.2,0,1,face,999,0,0,2.431,1,1,0.84,faceMorph060.jpg,0.20,2.00,0.40,houseMorph039.jpg,0.22,2.00,0.44,1,0.767,left,1.00,50
2019_Feb_12_1427,3.0.2,3.0.2,0,1,face,999,0,0,2.431,1,1,0.84,faceMorph060.jpg,0.20,2.00,0.40,houseMorph039.jpg,0.22,2.00,0.44,2,0.066,weights,1.00,50
2019_Feb_12_1427,3.0.2,3.0.2,0,1,face,999,0,0,2.431,1,1,0.84,faceMorph060.jpg,0.20,2.00,0.40,houseMorph039.jpg,0.22,2.00,0.44,3,0.818,right,1.00,50
2019_Feb_12_1427,3.0.2,3.0.2,0,1,face,999,0,0,2.431,1,1,0.84,faceMorph060.jpg,0.20,2.00,0.40,houseMorph039.jpg,0.22,2.00,0.44,4,0.082,weights,1.00,50
2019_Feb_12_1427,3.0.2,3.0.2,0,1,face,999,0,1,6.482,1,0,-0.62,faceMorph025.jpg,-0.50,0.33,-0.17,houseMorph096.jpg,-0.92,0.50,-0.46,0,0.781,weights,0.50,0
2019_Feb_12_1427,3.0.2,3.0.2,0,1,face,999,0,1,6.482,1,0,-0.62,faceMorph025.jpg,-0.50,0.33,-0.17,houseMorph096.jpg,-0.92,0.50,-0.46,1,1.468,left,0.50,0
2019_Feb_12_1427,3.0.2,3.0.2,0,1,face,999,0,1,6.482,1,0,-0.62,faceMorph025.jpg,-0.50,0.33,-0.17,houseMorph096.jpg,-0.92,0.50,-0.46,2,0.100,weights,0.50,0
2019_Feb_12_1427,3.0.2,3.0.2,0,1,face,999,0,1,6.482,1,0,-0.62,faceMorph025.jpg,-0.50,0.33,-0.17,houseMorph096.jpg,-0.92,0.50,-0.46,3,1.783,right,0.50,0
2019_Feb_12_1427,3.0.2,3.0.2,0,1,face,999,0,1,6.482,1,0,-0.62,faceMorph025.jpg,-0.50,0.33,-0.17,houseMorph096.jpg,-0.92,0.50,-0.46,4,0.066,weights,0.50,0
