date, psychopy_version, exp_version, face_version, house_version, left, subject, block, trial, rt, response, correct, summed_val_total, face_image, face_val_base, face_mult, face_val_total, house_image, house_val_base, house_mult, house_val_total, fix_num, fix_rt, fix_stim, accuracy, payout
2019_Feb_19_2342,3.0.2,3.0.2,0,1,face,999,0,0,2.952,0,1,-0.34,faceMorph031.jpg,-0.38,3.00,-1.14,houseMorph010.jpg,0.80,1.00,0.80,0,0.663,weights,1.00,50
2019_Feb_19_2342,3.0.2,3.0.2,0,1,face,999,0,0,2.952,0,1,-0.34,faceMorph031.jpg,-0.38,3.00,-1.14,houseMorph010.jpg,0.80,1.00,0.80,1,0.751,left,1.00,50
2019_Feb_19_2342,3.0.2,3.0.2,0,1,face,999,0,0,2.952,0,1,-0.34,faceMorph031.jpg,-0.38,3.00,-1.14,houseMorph010.jpg,0.80,1.00,0.80,2,0.050,weights,1.00,50
2019_Feb_19_2342,3.0.2,3.0.2,0,1,face,999,0,0,2.952,0,1,-0.34,faceMorph031.jpg,-0.38,3.00,-1.14,houseMorph010.jpg,0.80,1.00,0.80,3,1.338,right,1.00,50
2019_Feb_19_2342,3.0.2,3.0.2,0,1,face,999,0,0,2.952,0,1,-0.34,faceMorph031.jpg,-0.38,3.00,-1.14,houseMorph010.jpg,0.80,1.00,0.80,4,0.151,weights,1.00,50
2019_Feb_19_2342,3.0.2,3.0.2,0,1,face,999,0,1,2.504,1,1,0.51,faceMorph100.jpg,1.00,0.33,0.33,houseMorph023.jpg,0.54,0.33,0.18,0,0.645,weights,1.00,50
2019_Feb_19_2342,3.0.2,3.0.2,0,1,face,999,0,1,2.504,1,1,0.51,faceMorph100.jpg,1.00,0.33,0.33,houseMorph023.jpg,0.54,0.33,0.18,1,0.955,left,1.00,50
2019_Feb_19_2342,3.0.2,3.0.2,0,1,face,999,0,1,2.504,1,1,0.51,faceMorph100.jpg,1.00,0.33,0.33,houseMorph023.jpg,0.54,0.33,0.18,2,0.083,weights,1.00,50
2019_Feb_19_2342,3.0.2,3.0.2,0,1,face,999,0,1,2.504,1,1,0.51,faceMorph100.jpg,1.00,0.33,0.33,houseMorph023.jpg,0.54,0.33,0.18,3,0.785,right,1.00,50
2019_Feb_19_2342,3.0.2,3.0.2,0,1,face,999,0,1,2.504,1,1,0.51,faceMorph100.jpg,1.00,0.33,0.33,houseMorph023.jpg,0.54,0.33,0.18,4,0.037,weights,1.00,50
2019_Feb_19_2342,3.0.2,3.0.2,0,1,face,999,0,2,2.168,1,1,0.80,faceMorph052.jpg,0.04,1.00,0.04,houseMorph012.jpg,0.76,1.00,0.76,0,0.417,weights,1.00,50
2019_Feb_19_2342,3.0.2,3.0.2,0,1,face,999,0,2,2.168,1,1,0.80,faceMorph052.jpg,0.04,1.00,0.04,houseMorph012.jpg,0.76,1.00,0.76,1,0.685,left,1.00,50
2019_Feb_19_2342,3.0.2,3.0.2,0,1,face,999,0,2,2.168,1,1,0.80,faceMorph052.jpg,0.04,1.00,0.04,houseMorph012.jpg,0.76,1.00,0.76,2,0.083,weights,1.00,50
2019_Feb_19_2342,3.0.2,3.0.2,0,1,face,999,0,2,2.168,1,1,0.80,faceMorph052.jpg,0.04,1.00,0.04,houseMorph012.jpg,0.76,1.00,0.76,3,0.915,right,1.00,50
2019_Feb_19_2342,3.0.2,3.0.2,0,1,face,999,0,2,2.168,1,1,0.80,faceMorph052.jpg,0.04,1.00,0.04,houseMorph012.jpg,0.76,1.00,0.76,4,0.068,weights,1.00,50
2019_Feb_19_2342,3.0.2,3.0.2,0,1,face,999,1,3,2.870,0,1,-6.20,faceMorph090.jpg,0.80,3.00,2.40,houseMorph093.jpg,-0.86,10.00,-8.60,0,0.750,weights,1.00,50
2019_Feb_19_2342,3.0.2,3.0.2,0,1,face,999,1,3,2.870,0,1,-6.20,faceMorph090.jpg,0.80,3.00,2.40,houseMorph093.jpg,-0.86,10.00,-8.60,1,0.937,left,1.00,50
2019_Feb_19_2342,3.0.2,3.0.2,0,1,face,999,1,3,2.870,0,1,-6.20,faceMorph090.jpg,0.80,3.00,2.40,houseMorph093.jpg,-0.86,10.00,-8.60,2,0.100,weights,1.00,50
2019_Feb_19_2342,3.0.2,3.0.2,0,1,face,999,1,3,2.870,0,1,-6.20,faceMorph090.jpg,0.80,3.00,2.40,houseMorph093.jpg,-0.86,10.00,-8.60,3,0.867,right,1.00,50
2019_Feb_19_2342,3.0.2,3.0.2,0,1,face,999,1,3,2.870,0,1,-6.20,faceMorph090.jpg,0.80,3.00,2.40,houseMorph093.jpg,-0.86,10.00,-8.60,4,0.216,weights,1.00,50
