date, psychopy_version, exp_version, face_version, house_version, left, subject, block, condition, trial, rt, stim_start_rt, response, correct, summed_val_total, face_image, face_val_base, face_mult, face_val_total, house_image, house_val_base, house_mult, house_val_total, fix_num, fix_rt, fix_stim, fix_num_total, accuracy, trial_time, payout
2019_May_14_1618,3.0.2,3.1.1,0,1,face,999,2,High Time Pressure,6,2.316,0.951,1,1,0.24,faceMorph073.jpg,0.46,1.00,0.46,houseMorph061.jpg,-0.22,1.00,-0.22,0,1.366,weights,5,1.00,1.75,50
2019_May_14_1618,3.0.2,3.1.1,0,1,face,999,2,High Time Pressure,6,2.316,0.951,1,1,0.24,faceMorph073.jpg,0.46,1.00,0.46,houseMorph061.jpg,-0.22,1.00,-0.22,1,0.484,left,5,1.00,1.75,50
2019_May_14_1618,3.0.2,3.1.1,0,1,face,999,2,High Time Pressure,6,2.316,0.951,1,1,0.24,faceMorph073.jpg,0.46,1.00,0.46,houseMorph061.jpg,-0.22,1.00,-0.22,2,0.149,weights,5,1.00,1.75,50
2019_May_14_1618,3.0.2,3.1.1,0,1,face,999,2,High Time Pressure,6,2.316,0.951,1,1,0.24,faceMorph073.jpg,0.46,1.00,0.46,houseMorph061.jpg,-0.22,1.00,-0.22,3,0.250,right,5,1.00,1.75,50
2019_May_14_1618,3.0.2,3.1.1,0,1,face,999,2,High Time Pressure,6,2.316,0.951,1,1,0.24,faceMorph073.jpg,0.46,1.00,0.46,houseMorph061.jpg,-0.22,1.00,-0.22,4,0.066,weights,5,1.00,1.75,50
2019_May_14_1618,3.0.2,3.1.1,0,1,face,999,2,High Time Pressure,7,3.777,1.267,0,1,-0.14,faceMorph013.jpg,-0.74,0.10,-0.07,houseMorph057.jpg,-0.14,0.50,-0.07,0,2.510,weights,5,1.00,1.75,50
2019_May_14_1618,3.0.2,3.1.1,0,1,face,999,2,High Time Pressure,7,3.777,1.267,0,1,-0.14,faceMorph013.jpg,-0.74,0.10,-0.07,houseMorph057.jpg,-0.14,0.50,-0.07,1,0.467,right,5,1.00,1.75,50
2019_May_14_1618,3.0.2,3.1.1,0,1,face,999,2,High Time Pressure,7,3.777,1.267,0,1,-0.14,faceMorph013.jpg,-0.74,0.10,-0.07,houseMorph057.jpg,-0.14,0.50,-0.07,2,0.116,weights,5,1.00,1.75,50
2019_May_14_1618,3.0.2,3.1.1,0,1,face,999,2,High Time Pressure,7,3.777,1.267,0,1,-0.14,faceMorph013.jpg,-0.74,0.10,-0.07,houseMorph057.jpg,-0.14,0.50,-0.07,3,0.434,left,5,1.00,1.75,50
2019_May_14_1618,3.0.2,3.1.1,0,1,face,999,2,High Time Pressure,7,3.777,1.267,0,1,-0.14,faceMorph013.jpg,-0.74,0.10,-0.07,houseMorph057.jpg,-0.14,0.50,-0.07,4,0.250,weights,5,1.00,1.75,50
2019_May_14_1618,3.0.2,3.1.1,0,1,face,999,2,High Time Pressure,8,2.435,0.935,1,1,2.63,faceMorph065.jpg,0.30,10.00,3.00,houseMorph087.jpg,-0.74,0.50,-0.37,0,1.500,weights,3,1.00,1.75,50
2019_May_14_1618,3.0.2,3.1.1,0,1,face,999,2,High Time Pressure,8,2.435,0.935,1,1,2.63,faceMorph065.jpg,0.30,10.00,3.00,houseMorph087.jpg,-0.74,0.50,-0.37,1,0.734,left,3,1.00,1.75,50
2019_May_14_1618,3.0.2,3.1.1,0,1,face,999,2,High Time Pressure,8,2.435,0.935,1,1,2.63,faceMorph065.jpg,0.30,10.00,3.00,houseMorph087.jpg,-0.74,0.50,-0.37,2,0.201,weights,3,1.00,1.75,50
2019_May_14_1618,3.0.2,3.1.1,0,1,face,999,3,Low Time Pressure,9,1.584,0.951,0,1,-1.69,faceMorph001.jpg,-0.98,0.50,-0.49,houseMorph080.jpg,-0.60,2.00,-1.20,0,0.633,weights,5,1.00,3.50,50
2019_May_14_1618,3.0.2,3.1.1,0,1,face,999,3,Low Time Pressure,9,1.584,0.951,0,1,-1.69,faceMorph001.jpg,-0.98,0.50,-0.49,houseMorph080.jpg,-0.60,2.00,-1.20,1,0.517,left,5,1.00,3.50,50
2019_May_14_1618,3.0.2,3.1.1,0,1,face,999,3,Low Time Pressure,9,1.584,0.951,0,1,-1.69,faceMorph001.jpg,-0.98,0.50,-0.49,houseMorph080.jpg,-0.60,2.00,-1.20,2,0.166,weights,5,1.00,3.50,50
2019_May_14_1618,3.0.2,3.1.1,0,1,face,999,3,Low Time Pressure,9,1.584,0.951,0,1,-1.69,faceMorph001.jpg,-0.98,0.50,-0.49,houseMorph080.jpg,-0.60,2.00,-1.20,3,0.217,right,5,1.00,3.50,50
2019_May_14_1618,3.0.2,3.1.1,0,1,face,999,3,Low Time Pressure,9,1.584,0.951,0,1,-1.69,faceMorph001.jpg,-0.98,0.50,-0.49,houseMorph080.jpg,-0.60,2.00,-1.20,4,0.051,weights,5,1.00,3.50,50
2019_May_14_1618,3.0.2,3.1.1,0,1,face,999,3,Low Time Pressure,10,3.366,1.534,1,0,-0.04,faceMorph048.jpg,-0.04,3.00,-0.12,houseMorph046.jpg,0.08,1.00,0.08,0,1.833,weights,5,0.80,3.50,9
2019_May_14_1618,3.0.2,3.1.1,0,1,face,999,3,Low Time Pressure,10,3.366,1.534,1,0,-0.04,faceMorph048.jpg,-0.04,3.00,-0.12,houseMorph046.jpg,0.08,1.00,0.08,1,0.784,left,5,0.80,3.50,9
2019_May_14_1618,3.0.2,3.1.1,0,1,face,999,3,Low Time Pressure,10,3.366,1.534,1,0,-0.04,faceMorph048.jpg,-0.04,3.00,-0.12,houseMorph046.jpg,0.08,1.00,0.08,2,0.116,weights,5,0.80,3.50,9
2019_May_14_1618,3.0.2,3.1.1,0,1,face,999,3,Low Time Pressure,10,3.366,1.534,1,0,-0.04,faceMorph048.jpg,-0.04,3.00,-0.12,houseMorph046.jpg,0.08,1.00,0.08,3,0.334,right,5,0.80,3.50,9
2019_May_14_1618,3.0.2,3.1.1,0,1,face,999,3,Low Time Pressure,10,3.366,1.534,1,0,-0.04,faceMorph048.jpg,-0.04,3.00,-0.12,houseMorph046.jpg,0.08,1.00,0.08,4,0.299,weights,5,0.80,3.50,9
2019_May_14_1618,3.0.2,3.1.1,0,1,face,999,3,Low Time Pressure,11,2.318,1.650,0,1,-0.16,faceMorph024.jpg,-0.52,1.00,-0.52,houseMorph044.jpg,0.12,3.00,0.36,0,0.667,weights,5,0.83,3.50,9
2019_May_14_1618,3.0.2,3.1.1,0,1,face,999,3,Low Time Pressure,11,2.318,1.650,0,1,-0.16,faceMorph024.jpg,-0.52,1.00,-0.52,houseMorph044.jpg,0.12,3.00,0.36,1,0.602,left,5,0.83,3.50,9
2019_May_14_1618,3.0.2,3.1.1,0,1,face,999,3,Low Time Pressure,11,2.318,1.650,0,1,-0.16,faceMorph024.jpg,-0.52,1.00,-0.52,houseMorph044.jpg,0.12,3.00,0.36,2,0.132,weights,5,0.83,3.50,9
2019_May_14_1618,3.0.2,3.1.1,0,1,face,999,3,Low Time Pressure,11,2.318,1.650,0,1,-0.16,faceMorph024.jpg,-0.52,1.00,-0.52,houseMorph044.jpg,0.12,3.00,0.36,3,0.751,right,5,0.83,3.50,9
2019_May_14_1618,3.0.2,3.1.1,0,1,face,999,3,Low Time Pressure,11,2.318,1.650,0,1,-0.16,faceMorph024.jpg,-0.52,1.00,-0.52,houseMorph044.jpg,0.12,3.00,0.36,4,0.166,weights,5,0.83,3.50,9
2019_May_14_1618,3.0.2,3.1.1,0,1,face,999,4,No Time Pressure,12,3.566,2.297,0,1,-1.34,faceMorph006.jpg,-0.88,1.00,-0.88,houseMorph073.jpg,-0.46,1.00,-0.46,0,1.269,weights,5,0.86,20.00,14
2019_May_14_1618,3.0.2,3.1.1,0,1,face,999,4,No Time Pressure,12,3.566,2.297,0,1,-1.34,faceMorph006.jpg,-0.88,1.00,-0.88,houseMorph073.jpg,-0.46,1.00,-0.46,1,0.968,left,5,0.86,20.00,14
2019_May_14_1618,3.0.2,3.1.1,0,1,face,999,4,No Time Pressure,12,3.566,2.297,0,1,-1.34,faceMorph006.jpg,-0.88,1.00,-0.88,houseMorph073.jpg,-0.46,1.00,-0.46,2,0.331,weights,5,0.86,20.00,14
2019_May_14_1618,3.0.2,3.1.1,0,1,face,999,4,No Time Pressure,12,3.566,2.297,0,1,-1.34,faceMorph006.jpg,-0.88,1.00,-0.88,houseMorph073.jpg,-0.46,1.00,-0.46,3,0.685,right,5,0.86,20.00,14
2019_May_14_1618,3.0.2,3.1.1,0,1,face,999,4,No Time Pressure,12,3.566,2.297,0,1,-1.34,faceMorph006.jpg,-0.88,1.00,-0.88,houseMorph073.jpg,-0.46,1.00,-0.46,4,0.314,weights,5,0.86,20.00,14
2019_May_14_1618,3.0.2,3.1.1,0,1,face,999,4,No Time Pressure,13,2.250,1.731,0,1,-3.20,faceMorph007.jpg,-0.86,2.00,-1.72,houseMorph087.jpg,-0.74,2.00,-1.48,0,0.519,weights,5,0.88,20.00,14
2019_May_14_1618,3.0.2,3.1.1,0,1,face,999,4,No Time Pressure,13,2.250,1.731,0,1,-3.20,faceMorph007.jpg,-0.86,2.00,-1.72,houseMorph087.jpg,-0.74,2.00,-1.48,1,0.716,left,5,0.88,20.00,14
2019_May_14_1618,3.0.2,3.1.1,0,1,face,999,4,No Time Pressure,13,2.250,1.731,0,1,-3.20,faceMorph007.jpg,-0.86,2.00,-1.72,houseMorph087.jpg,-0.74,2.00,-1.48,2,0.234,weights,5,0.88,20.00,14
2019_May_14_1618,3.0.2,3.1.1,0,1,face,999,4,No Time Pressure,13,2.250,1.731,0,1,-3.20,faceMorph007.jpg,-0.86,2.00,-1.72,houseMorph087.jpg,-0.74,2.00,-1.48,3,0.550,right,5,0.88,20.00,14
2019_May_14_1618,3.0.2,3.1.1,0,1,face,999,4,No Time Pressure,13,2.250,1.731,0,1,-3.20,faceMorph007.jpg,-0.86,2.00,-1.72,houseMorph087.jpg,-0.74,2.00,-1.48,4,0.231,weights,5,0.88,20.00,14
2019_May_14_1618,3.0.2,3.1.1,0,1,face,999,4,No Time Pressure,14,2.451,1.918,0,1,-1.80,faceMorph004.jpg,-0.92,1.00,-0.92,houseMorph094.jpg,-0.88,1.00,-0.88,0,0.533,weights,5,0.89,20.00,14
2019_May_14_1618,3.0.2,3.1.1,0,1,face,999,4,No Time Pressure,14,2.451,1.918,0,1,-1.80,faceMorph004.jpg,-0.92,1.00,-0.92,houseMorph094.jpg,-0.88,1.00,-0.88,1,0.802,left,5,0.89,20.00,14
2019_May_14_1618,3.0.2,3.1.1,0,1,face,999,4,No Time Pressure,14,2.451,1.918,0,1,-1.80,faceMorph004.jpg,-0.92,1.00,-0.92,houseMorph094.jpg,-0.88,1.00,-0.88,2,0.300,weights,5,0.89,20.00,14
2019_May_14_1618,3.0.2,3.1.1,0,1,face,999,4,No Time Pressure,14,2.451,1.918,0,1,-1.80,faceMorph004.jpg,-0.92,1.00,-0.92,houseMorph094.jpg,-0.88,1.00,-0.88,3,0.650,right,5,0.89,20.00,14
2019_May_14_1618,3.0.2,3.1.1,0,1,face,999,4,No Time Pressure,14,2.451,1.918,0,1,-1.80,faceMorph004.jpg,-0.92,1.00,-0.92,houseMorph094.jpg,-0.88,1.00,-0.88,4,0.166,weights,5,0.89,20.00,14
2019_May_14_1618,3.0.2,3.1.1,0,1,face,999,5,Low Time Pressure,15,3.718,2.018,0,1,-0.98,faceMorph027.jpg,-0.46,1.00,-0.46,houseMorph076.jpg,-0.52,1.00,-0.52,0,1.700,weights,5,0.90,3.50,14
2019_May_14_1618,3.0.2,3.1.1,0,1,face,999,5,Low Time Pressure,15,3.718,2.018,0,1,-0.98,faceMorph027.jpg,-0.46,1.00,-0.46,houseMorph076.jpg,-0.52,1.00,-0.52,1,0.867,left,5,0.90,3.50,14
2019_May_14_1618,3.0.2,3.1.1,0,1,face,999,5,Low Time Pressure,15,3.718,2.018,0,1,-0.98,faceMorph027.jpg,-0.46,1.00,-0.46,houseMorph076.jpg,-0.52,1.00,-0.52,2,0.266,weights,5,0.90,3.50,14
