date, psychopy_version, exp_version, unattractive_face_version, attractive_face_version, left, subject, block, trial, rt, response, correct, summed_val_total, unattractive_face_image, unattractive_face_val_base, unattractive_face_mult, unattractive_face_val_total, attractive_face_image, attractive_face_val_base, attractive_face_mult, attractive_face_val_total, fix_num, fix_rt, fix_stim, fix_num_total, accuracy, payout
2019_Jul_03_1320,3.0.2,3.3.0,0,1,unattractive,999,0,0,3.867,1,0,-0.42,face_m_u_1_081.jpg,0.62,0.10,0.06,face_m_a_3_058.jpg,-0.16,3.00,-0.48,0,0.780,weights,5,0.00,0
2019_Jul_03_1320,3.0.2,3.3.0,0,1,unattractive,999,0,0,3.867,1,0,-0.42,face_m_u_1_081.jpg,0.62,0.10,0.06,face_m_a_3_058.jpg,-0.16,3.00,-0.48,1,1.387,left,5,0.00,0
2019_Jul_03_1320,3.0.2,3.3.0,0,1,unattractive,999,0,0,3.867,1,0,-0.42,face_m_u_1_081.jpg,0.62,0.10,0.06,face_m_a_3_058.jpg,-0.16,3.00,-0.48,2,0.333,weights,5,0.00,0
2019_Jul_03_1320,3.0.2,3.3.0,0,1,unattractive,999,0,0,3.867,1,0,-0.42,face_m_u_1_081.jpg,0.62,0.10,0.06,face_m_a_3_058.jpg,-0.16,3.00,-0.48,3,1.238,right,5,0.00,0
2019_Jul_03_1320,3.0.2,3.3.0,0,1,unattractive,999,0,0,3.867,1,0,-0.42,face_m_u_1_081.jpg,0.62,0.10,0.06,face_m_a_3_058.jpg,-0.16,3.00,-0.48,4,0.130,weights,5,0.00,0
2019_Jul_03_1320,3.0.2,3.3.0,0,1,unattractive,999,0,1,4.366,0,0,0.20,face_m_u_1_071.jpg,0.42,1.00,0.42,face_m_a_3_061.jpg,-0.22,1.00,-0.22,0,0.980,weights,5,0.00,0
2019_Jul_03_1320,3.0.2,3.3.0,0,1,unattractive,999,0,1,4.366,0,0,0.20,face_m_u_1_071.jpg,0.42,1.00,0.42,face_m_a_3_061.jpg,-0.22,1.00,-0.22,1,0.885,left,5,0.00,0
2019_Jul_03_1320,3.0.2,3.3.0,0,1,unattractive,999,0,1,4.366,0,0,0.20,face_m_u_1_071.jpg,0.42,1.00,0.42,face_m_a_3_061.jpg,-0.22,1.00,-0.22,2,0.182,weights,5,0.00,0
2019_Jul_03_1320,3.0.2,3.3.0,0,1,unattractive,999,0,1,4.366,0,0,0.20,face_m_u_1_071.jpg,0.42,1.00,0.42,face_m_a_3_061.jpg,-0.22,1.00,-0.22,3,1.837,right,5,0.00,0
2019_Jul_03_1320,3.0.2,3.3.0,0,1,unattractive,999,0,1,4.366,0,0,0.20,face_m_u_1_071.jpg,0.42,1.00,0.42,face_m_a_3_061.jpg,-0.22,1.00,-0.22,4,0.482,weights,5,0.00,0
2019_Jul_03_1320,3.0.2,3.3.0,0,1,unattractive,999,0,2,5.551,1,1,0.09,face_m_u_1_065.jpg,0.30,0.10,0.03,face_m_a_3_049.jpg,0.02,3.00,0.06,0,0.851,weights,9,0.33,0
2019_Jul_03_1320,3.0.2,3.3.0,0,1,unattractive,999,0,2,5.551,1,1,0.09,face_m_u_1_065.jpg,0.30,0.10,0.03,face_m_a_3_049.jpg,0.02,3.00,0.06,1,0.832,left,9,0.33,0
2019_Jul_03_1320,3.0.2,3.3.0,0,1,unattractive,999,0,2,5.551,1,1,0.09,face_m_u_1_065.jpg,0.30,0.10,0.03,face_m_a_3_049.jpg,0.02,3.00,0.06,2,0.234,weights,9,0.33,0
2019_Jul_03_1320,3.0.2,3.3.0,0,1,unattractive,999,0,2,5.551,1,1,0.09,face_m_u_1_065.jpg,0.30,0.10,0.03,face_m_a_3_049.jpg,0.02,3.00,0.06,3,1.667,right,9,0.33,0
2019_Jul_03_1320,3.0.2,3.3.0,0,1,unattractive,999,0,2,5.551,1,1,0.09,face_m_u_1_065.jpg,0.30,0.10,0.03,face_m_a_3_049.jpg,0.02,3.00,0.06,4,0.383,weights,9,0.33,0
2019_Jul_03_1320,3.0.2,3.3.0,0,1,unattractive,999,0,2,5.551,1,1,0.09,face_m_u_1_065.jpg,0.30,0.10,0.03,face_m_a_3_049.jpg,0.02,3.00,0.06,5,0.500,left,9,0.33,0
2019_Jul_03_1320,3.0.2,3.3.0,0,1,unattractive,999,0,2,5.551,1,1,0.09,face_m_u_1_065.jpg,0.30,0.10,0.03,face_m_a_3_049.jpg,0.02,3.00,0.06,6,0.217,weights,9,0.33,0
2019_Jul_03_1320,3.0.2,3.3.0,0,1,unattractive,999,0,2,5.551,1,1,0.09,face_m_u_1_065.jpg,0.30,0.10,0.03,face_m_a_3_049.jpg,0.02,3.00,0.06,7,0.633,right,9,0.33,0
2019_Jul_03_1320,3.0.2,3.3.0,0,1,unattractive,999,0,2,5.551,1,1,0.09,face_m_u_1_065.jpg,0.30,0.10,0.03,face_m_a_3_049.jpg,0.02,3.00,0.06,8,0.235,weights,9,0.33,0
