date, psychopy_version, exp_version, unattractive_face_version, attractive_face_version, left, subject, block, trial, rt, response, correct, summed_val_total, unattractive_face_image, unattractive_face_val_base, unattractive_face_mult, unattractive_face_val_total, attractive_face_image, attractive_face_val_base, attractive_face_mult, attractive_face_val_total, fix_num, fix_rt, fix_stim, fix_num_total, accuracy, payout
2019_Jul_03_2335,3.0.2,3.3.0,0,1,unattractive,999,0,0,6.669,0,0,0.04,face_m_u_1_065.jpg,0.30,2.00,0.60,face_m_a_4_064.jpg,-0.28,2.00,-0.56,0,0.632,weights,9,0.00,0
2019_Jul_03_2335,3.0.2,3.3.0,0,1,unattractive,999,0,0,6.669,0,0,0.04,face_m_u_1_065.jpg,0.30,2.00,0.60,face_m_a_4_064.jpg,-0.28,2.00,-0.56,1,1.050,left,9,0.00,0
2019_Jul_03_2335,3.0.2,3.3.0,0,1,unattractive,999,0,0,6.669,0,0,0.04,face_m_u_1_065.jpg,0.30,2.00,0.60,face_m_a_4_064.jpg,-0.28,2.00,-0.56,2,0.200,weights,9,0.00,0
2019_Jul_03_2335,3.0.2,3.3.0,0,1,unattractive,999,0,0,6.669,0,0,0.04,face_m_u_1_065.jpg,0.30,2.00,0.60,face_m_a_4_064.jpg,-0.28,2.00,-0.56,3,1.367,right,9,0.00,0
2019_Jul_03_2335,3.0.2,3.3.0,0,1,unattractive,999,0,0,6.669,0,0,0.04,face_m_u_1_065.jpg,0.30,2.00,0.60,face_m_a_4_064.jpg,-0.28,2.00,-0.56,4,0.633,weights,9,0.00,0
2019_Jul_03_2335,3.0.2,3.3.0,0,1,unattractive,999,0,0,6.669,0,0,0.04,face_m_u_1_065.jpg,0.30,2.00,0.60,face_m_a_4_064.jpg,-0.28,2.00,-0.56,5,0.734,left,9,0.00,0
2019_Jul_03_2335,3.0.2,3.3.0,0,1,unattractive,999,0,0,6.669,0,0,0.04,face_m_u_1_065.jpg,0.30,2.00,0.60,face_m_a_4_064.jpg,-0.28,2.00,-0.56,6,0.137,weights,9,0.00,0
2019_Jul_03_2335,3.0.2,3.3.0,0,1,unattractive,999,0,0,6.669,0,0,0.04,face_m_u_1_065.jpg,0.30,2.00,0.60,face_m_a_4_064.jpg,-0.28,2.00,-0.56,7,1.699,right,9,0.00,0
2019_Jul_03_2335,3.0.2,3.3.0,0,1,unattractive,999,0,0,6.669,0,0,0.04,face_m_u_1_065.jpg,0.30,2.00,0.60,face_m_a_4_064.jpg,-0.28,2.00,-0.56,8,0.217,weights,9,0.00,0
2019_Jul_03_2335,3.0.2,3.3.0,0,1,unattractive,999,0,1,2.951,1,1,1.14,face_m_u_1_089.jpg,0.78,1.00,0.78,face_m_a_4_032.jpg,0.36,1.00,0.36,0,0.767,weights,5,0.50,0
2019_Jul_03_2335,3.0.2,3.3.0,0,1,unattractive,999,0,1,2.951,1,1,1.14,face_m_u_1_089.jpg,0.78,1.00,0.78,face_m_a_4_032.jpg,0.36,1.00,0.36,1,0.934,left,5,0.50,0
2019_Jul_03_2335,3.0.2,3.3.0,0,1,unattractive,999,0,1,2.951,1,1,1.14,face_m_u_1_089.jpg,0.78,1.00,0.78,face_m_a_4_032.jpg,0.36,1.00,0.36,2,0.184,weights,5,0.50,0
2019_Jul_03_2335,3.0.2,3.3.0,0,1,unattractive,999,0,1,2.951,1,1,1.14,face_m_u_1_089.jpg,0.78,1.00,0.78,face_m_a_4_032.jpg,0.36,1.00,0.36,3,0.983,right,5,0.50,0
2019_Jul_03_2335,3.0.2,3.3.0,0,1,unattractive,999,0,1,2.951,1,1,1.14,face_m_u_1_089.jpg,0.78,1.00,0.78,face_m_a_4_032.jpg,0.36,1.00,0.36,4,0.084,weights,5,0.50,0
2019_Jul_03_2335,3.0.2,3.3.0,0,1,unattractive,999,0,2,2.434,1,1,1.58,face_m_u_1_091.jpg,0.82,1.00,0.82,face_m_a_4_012.jpg,0.76,1.00,0.76,0,0.733,weights,5,0.67,5
2019_Jul_03_2335,3.0.2,3.3.0,0,1,unattractive,999,0,2,2.434,1,1,1.58,face_m_u_1_091.jpg,0.82,1.00,0.82,face_m_a_4_012.jpg,0.76,1.00,0.76,1,0.652,left,5,0.67,5
2019_Jul_03_2335,3.0.2,3.3.0,0,1,unattractive,999,0,2,2.434,1,1,1.58,face_m_u_1_091.jpg,0.82,1.00,0.82,face_m_a_4_012.jpg,0.76,1.00,0.76,2,0.065,weights,5,0.67,5
2019_Jul_03_2335,3.0.2,3.3.0,0,1,unattractive,999,0,2,2.434,1,1,1.58,face_m_u_1_091.jpg,0.82,1.00,0.82,face_m_a_4_012.jpg,0.76,1.00,0.76,3,0.918,right,5,0.67,5
2019_Jul_03_2335,3.0.2,3.3.0,0,1,unattractive,999,0,2,2.434,1,1,1.58,face_m_u_1_091.jpg,0.82,1.00,0.82,face_m_a_4_012.jpg,0.76,1.00,0.76,4,0.066,weights,5,0.67,5
2019_Jul_03_2335,3.0.2,3.3.0,0,1,unattractive,999,0,3,2.400,0,1,-1.30,face_m_u_1_015.jpg,-0.70,1.00,-0.70,face_m_a_4_080.jpg,-0.60,1.00,-0.60,0,0.385,weights,5,0.75,9
2019_Jul_03_2335,3.0.2,3.3.0,0,1,unattractive,999,0,3,2.400,0,1,-1.30,face_m_u_1_015.jpg,-0.70,1.00,-0.70,face_m_a_4_080.jpg,-0.60,1.00,-0.60,1,0.815,left,5,0.75,9
2019_Jul_03_2335,3.0.2,3.3.0,0,1,unattractive,999,0,3,2.400,0,1,-1.30,face_m_u_1_015.jpg,-0.70,1.00,-0.70,face_m_a_4_080.jpg,-0.60,1.00,-0.60,2,0.101,weights,5,0.75,9
2019_Jul_03_2335,3.0.2,3.3.0,0,1,unattractive,999,0,3,2.400,0,1,-1.30,face_m_u_1_015.jpg,-0.70,1.00,-0.70,face_m_a_4_080.jpg,-0.60,1.00,-0.60,3,1.034,right,5,0.75,9
2019_Jul_03_2335,3.0.2,3.3.0,0,1,unattractive,999,0,3,2.400,0,1,-1.30,face_m_u_1_015.jpg,-0.70,1.00,-0.70,face_m_a_4_080.jpg,-0.60,1.00,-0.60,4,0.066,weights,5,0.75,9
2019_Jul_03_2335,3.0.2,3.3.0,0,1,unattractive,999,1,4,3.421,1,0,-1.06,face_m_u_1_042.jpg,-0.16,10.00,-1.60,face_m_a_4_041.jpg,0.18,3.00,0.54,0,0.652,weights,5,0.60,2
2019_Jul_03_2335,3.0.2,3.3.0,0,1,unattractive,999,1,4,3.421,1,0,-1.06,face_m_u_1_042.jpg,-0.16,10.00,-1.60,face_m_a_4_041.jpg,0.18,3.00,0.54,1,0.968,left,5,0.60,2
