color,congruent,word,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Response.keys,Response.corr,Response.rt,date,frameRate,expName,session,participant,
green,0,red,g,0,0,0,1,g,1,1.68367078004,2017_Mar_31_1520,59.9935126405,Stroop,001,73,
blue,0,green,b,0,1,1,3,b,1,1.1001673335,2017_Mar_31_1520,59.9935126405,Stroop,001,73,
red,0,blue ,r,0,2,2,5,r,1,1.73346431652,2017_Mar_31_1520,59.9935126405,Stroop,001,73,
blue,1,blue ,b,0,3,3,4,b,1,1.15000265755,2017_Mar_31_1520,59.9935126405,Stroop,001,73,
red,1,red,r,0,4,4,0,r,1,0.900287564378,2017_Mar_31_1520,59.9935126405,Stroop,001,73,
green,1,green,g,0,5,5,2,g,1,1.73364283005,2017_Mar_31_1520,59.9935126405,Stroop,001,73,
red,1,red,r,1,0,6,0,r,1,1.10037297226,2017_Mar_31_1520,59.9935126405,Stroop,001,73,
red,0,blue ,r,1,1,7,5,r,1,1.10034181486,2017_Mar_31_1520,59.9935126405,Stroop,001,73,
blue,1,blue ,b,1,2,8,4,b,1,0.88368580892,2017_Mar_31_1520,59.9935126405,Stroop,001,73,
green,0,red,g,1,3,9,1,g,1,1.63367087167,2017_Mar_31_1520,59.9935126405,Stroop,001,73,
blue,0,green,b,1,4,10,3,g,0,1.63366720616,2017_Mar_31_1520,59.9935126405,Stroop,001,73,
green,1,green,g,1,5,11,2,b,0,1.43350812019,2017_Mar_31_1520,59.9935126405,Stroop,001,73,
red,0,blue ,r,2,0,12,5,r,1,1.36698636593,2017_Mar_31_1520,59.9935126405,Stroop,001,73,
blue,1,blue ,b,2,1,13,4,b,1,1.03369469795,2017_Mar_31_1520,59.9935126405,Stroop,001,73,
green,0,red,g,2,2,14,1,g,1,1.01702256344,2017_Mar_31_1520,59.9935126405,Stroop,001,73,
green,1,green,g,2,3,15,2,g,1,1.01685724605,2017_Mar_31_1520,59.9935126405,Stroop,001,73,
blue,0,green,b,2,4,16,3,b,1,1.4668215983,2017_Mar_31_1520,59.9935126405,Stroop,001,73,
red,1,red,r,2,5,17,0,r,1,0.767036584264,2017_Mar_31_1520,59.9935126405,Stroop,001,73,
red,1,red,r,3,0,18,0,r,1,0.633479895245,2017_Mar_31_1520,59.9935126405,Stroop,001,73,
blue,1,blue ,b,3,1,19,4,b,1,1.18352287408,2017_Mar_31_1520,59.9935126405,Stroop,001,73,
red,0,blue ,r,3,2,20,5,r,1,0.867063159647,2017_Mar_31_1520,59.9935126405,Stroop,001,73,
blue,0,green,b,3,3,21,3,b,1,0.950198765786,2017_Mar_31_1520,59.9935126405,Stroop,001,73,
green,0,red,g,3,4,22,1,g,1,1.08352928888,2017_Mar_31_1520,59.9935126405,Stroop,001,73,
green,1,green,g,3,5,23,2,g,1,1.96685807075,2017_Mar_31_1520,59.9935126405,Stroop,001,73,
blue,0,green,b,4,0,24,3,b,1,0.666862652753,2017_Mar_31_1520,59.9935126405,Stroop,001,73,
red,1,red,r,4,1,25,0,r,1,0.466896742582,2017_Mar_31_1520,59.9935126405,Stroop,001,73,
green,1,green,g,4,2,26,2,g,1,0.683550915739,2017_Mar_31_1520,59.9935126405,Stroop,001,73,
red,0,blue ,r,4,3,27,5,r,1,0.900185294799,2017_Mar_31_1520,59.9935126405,Stroop,001,73,
green,0,red,g,4,4,28,1,g,1,1.05037416355,2017_Mar_31_1520,59.9935126405,Stroop,001,73,
