,mean,std,2.5q,25q,50q,75q,97.5q,mc err
t,0.63352072822107419,0.21694686927585669,0.095207647846162494,0.52054423126175142,0.6796759052146738,0.78877489828225411,0.95709537553061186,0.005567636665528437
t_std,0.60444310985885197,0.17178970854998565,0.3713911609840837,0.47938129229280324,0.56849078648775853,0.69395698954272089,1.0152113965647267,0.0046043026086820529
t_subj.1,0.5665145823113904,0.031242620316937798,0.496084585289709,0.54698360821283865,0.56958765876819817,0.58889589318139868,0.61922225494480077,0.00060454708104935992
t_subj.2,0.9532157883467216,0.049135060597099142,0.84874068509146228,0.92159745154097095,0.95714677857672315,0.98834700728162361,1.0395940826383148,0.0009850513151088982
t_subj.3,0.72884019096412145,0.015301195276763794,0.69434277691657231,0.71985430555880336,0.73039199922742304,0.73960085676589427,0.7546674756469296,0.00029845251696783393
t_subj.4,0.77239662736692372,0.023112594717833852,0.72302311227583349,0.75752908042383049,0.77393943742925431,0.78914619459609114,0.81284826734431692,0.00045970677782427503
t_subj.5,1.1598369830513486,0.032022283941487137,1.0918145248757745,1.1396632994391027,1.1619258340091037,1.1822323946469431,1.2168769683051797,0.00060757261835158393
t_subj.6,0.12232158732543644,0.034355868856916306,0.047583987521449517,0.10060260676733233,0.12540181181973653,0.14719160828423403,0.18125942244849197,0.00065837684905026197
t_subj.7,1.2588430494660188,0.036455459144261328,1.1797346338290449,1.2367152223496309,1.2621597110569545,1.2849597739347565,1.3206368095847001,0.00079196116030835263
t_subj.8,1.1507384051291472,0.031325389477763844,1.084491930662622,1.1307157969752633,1.1525614555668715,1.1730156624938199,1.2058784256255233,0.00070873163353290755
t_subj.9,0.95670149195583543,0.023696256250434679,0.9059972456731491,0.94215925819563351,0.95901466708048022,0.9733956368748653,0.99728254929561855,0.00045071771915484803
t_subj.10,0.89734589540625309,0.037530312914730697,0.81571267022251293,0.87367864652020688,0.90004256510809943,0.92303863598147962,0.96353462906131171,0.00098942518386225175
t_subj.11,0.30406605783371599,0.013157984018154316,0.27515650884968829,0.29608810560546284,0.30508364389260562,0.31362754392871334,0.32609240297496328,0.00025133439105505751
t_subj.12,0.64304709616124056,0.020164700260670708,0.59773400954448641,0.63105033434444624,0.64507309919263311,0.65727343394522675,0.67706923469302105,0.00044146274647412974
t_subj.13,0.33672966602866083,0.013284949337923336,0.30688249205861351,0.32876611883308759,0.33807237457689454,0.34616514088323191,0.35909308205336066,0.0002402225823097009
t_subj.14,1.9420924969171613,0.058859351740313079,1.8155604440134141,1.9048488314673808,1.9454911129870198,1.9832050275375877,2.0460136960032749,0.0012952674850387909
t_subj.15,1.2698858484380484,0.044906231221094904,1.1729837933036744,1.2424944525357169,1.2726347600058887,1.3011635249445104,1.3500953835099863,0.00094220009340223508
t_subj.16,0.43895195710464852,0.021041547964885332,0.39261186906879231,0.42599023673072195,0.4408229640679871,0.45353921042336121,0.47560665773100608,0.00037287053584964669
t_subj.17,0.77602622665731624,0.051566441229025498,0.66622636155713011,0.74369091602769422,0.77868185633683495,0.81223086257777954,0.86610593257889168,0.0010821459310299784
