                           mean          std        2.5q         25q         50q         75q       97.5q       mc err
v_Intercept           0.0625382    0.0261159   0.0120412   0.0455182     0.06216   0.0795094    0.114375   0.00041044
v_Intercept_std        0.114599    0.0206786   0.0816929    0.100074    0.112493    0.126402    0.162244  0.000378662
v_Intercept_subj.1    0.0367231    0.0364196  -0.0358055   0.0116582   0.0372189   0.0620055    0.107034  0.000573345
v_Intercept_subj.2    0.0388907    0.0341078  -0.0270697   0.0158889   0.0385136   0.0622462    0.105405  0.000450453
v_Intercept_subj.3     0.097115    0.0511025 -0.00171786   0.0626901   0.0965058     0.13034    0.199798  0.000784407
v_Intercept_subj.4     0.142292    0.0473094   0.0528401    0.110664    0.141813    0.174054    0.237854  0.000657158
v_Intercept_subj.5    0.0280895    0.0402416   -0.053629  0.00183293   0.0288714   0.0544606    0.106331  0.000535362
v_Intercept_subj.6   -0.0211321    0.0332329  -0.0844885  -0.0444192  -0.0213742  0.00149442   0.0449843  0.000475366
v_Intercept_subj.7    0.0493492    0.0377082  -0.0247126   0.0237922   0.0494388   0.0744469    0.123102  0.000519106
v_Intercept_subj.8     -0.11098    0.0411569   -0.190643     -0.1398   -0.110914  -0.0831377  -0.0311824  0.000575895
v_Intercept_subj.9    0.0269333    0.0422856  -0.0568807 -0.00137866   0.0271818   0.0559592    0.108285  0.000683431
v_Intercept_subj.10   -0.149322    0.0383924    -0.22424   -0.175519   -0.149346   -0.123625  -0.0751148  0.000635588
v_Intercept_subj.11  -0.0385563    0.0496467   -0.134797  -0.0715005  -0.0393676 -0.00492134   0.0600729  0.000648203
v_Intercept_subj.12    0.107013    0.0485051   0.0133582   0.0740557    0.106398    0.140152    0.200354  0.000733141
v_Intercept_subj.13    0.193245    0.0504304   0.0949466    0.158568    0.193084     0.22715    0.291546   0.00081658
v_Intercept_subj.14    0.105863    0.0359372   0.0362016   0.0812798    0.105364     0.13051    0.177653  0.000512698
v_Intercept_subj.15   0.0910884    0.0361478   0.0188273   0.0668904   0.0910051    0.115169    0.163031  0.000468043
v_Intercept_subj.16    0.164987    0.0416425   0.0818902    0.137043    0.165592    0.192985    0.247141  0.000558986
v_Intercept_subj.17   0.0415219    0.0346709  -0.0248336   0.0179154   0.0415796   0.0648225    0.110167  0.000527467
v_Intercept_subj.18   0.0878621    0.0451965  0.00271101   0.0568187   0.0881404    0.118842    0.178095  0.000628629
v_Intercept_subj.19   -0.111134    0.0355311   -0.181787   -0.135514   -0.111467  -0.0872216  -0.0422345  0.000490496
v_Intercept_subj.20    0.177581    0.0434046   0.0947411    0.148632    0.177296     0.20692    0.264108   0.00064919
v_Intercept_subj.21    0.239128    0.0456929    0.149883    0.209104    0.238903    0.269848    0.328982  0.000780368
v_Intercept_subj.22   0.0756619    0.0369349  0.00355439    0.051566   0.0760785   0.0996137    0.148984  0.000530531
v_Intercept_subj.23    0.166759     0.040533   0.0886952    0.138909    0.166588    0.193994    0.247065  0.000647035
v_face_mult_1          0.494419    0.0208169    0.453439     0.48042    0.494532    0.508946    0.533834  0.000362956
v_house_mult_1         0.387482    0.0205661    0.345981     0.37356    0.387951    0.401529    0.427919  0.000366308
v_face_mult_2           1.07695    0.0384345     1.00301     1.05026     1.07654     1.10308      1.1528  0.000647054
v_house_mult_2          1.03176    0.0379074    0.958876     1.00619     1.03131     1.05752     1.10697  0.000624864
v_face_mult_3           1.71872    0.0440965     1.63377     1.68815     1.71958     1.74875      1.8066  0.000712008
