                           mean         std        2.5q         25q         50q         75q       97.5q       mc err
z                      0.504656  0.00830442    0.487982    0.499283    0.504525    0.510189    0.521059  0.000281287
z_std                  0.136644   0.0326937   0.0784605    0.113393    0.134962    0.158054    0.205484   0.00163835
z_subj.1               0.527813   0.0210784     0.48807     0.51443     0.52741    0.540561    0.572493   0.00055197
z_subj.2               0.515548   0.0220654    0.472825    0.500786    0.515584    0.530778    0.558835  0.000567059
z_subj.3                0.53401   0.0242064    0.486981    0.518153    0.533547     0.55001    0.582565  0.000798127
z_subj.4               0.476733   0.0242961    0.427804     0.45999    0.477197    0.493785    0.523212   0.00077268
z_subj.5               0.470119   0.0233358    0.424355    0.454227    0.470456     0.48571     0.51701  0.000736084
z_subj.6               0.563764   0.0260122    0.513326    0.546259    0.562558    0.581251    0.615367  0.000997727
z_subj.7                0.49991   0.0212309     0.45684     0.48558     0.49981     0.51447    0.540623  0.000651879
z_subj.8                0.50729   0.0216696    0.464608    0.492399    0.507297    0.522393    0.550143  0.000580906
z_subj.9               0.501468   0.0217444    0.457885    0.487299    0.501665    0.516283    0.542059  0.000613474
z_subj.10              0.496764   0.0214953     0.45452    0.482714    0.496589    0.511294    0.538572  0.000575568
z_subj.11              0.486551   0.0221987    0.441034    0.471878    0.487223     0.50116     0.52877  0.000620878
z_subj.12              0.479319   0.0222733    0.432536    0.464528    0.480013    0.494746    0.520991  0.000606219
z_subj.13              0.505745   0.0209431    0.463744    0.491645    0.506156    0.519464    0.548057   0.00052238
z_subj.14              0.506939   0.0217835    0.463369    0.492236    0.506915    0.521579     0.55051  0.000592641
z_subj.15              0.502728   0.0227008    0.458477    0.488023    0.502369    0.517852    0.547961  0.000616944
z_subj.16              0.520329   0.0226675    0.475857    0.504832    0.520041    0.535805    0.564683  0.000650308
z_subj.17              0.561829   0.0249428    0.515558    0.543995    0.561439    0.578492     0.61132  0.000830835
z_subj.18              0.522047   0.0226973    0.477553    0.507206    0.522313    0.536783    0.567633  0.000689482
z_subj.19              0.486043   0.0216743    0.442715    0.471111    0.486331    0.500845    0.528347  0.000620888
z_subj.20              0.491995   0.0215118    0.448844    0.477963    0.492549    0.506872    0.532963  0.000608115
z_subj.21               0.50376   0.0214458    0.463655    0.488794     0.50341    0.518579    0.545266  0.000593876
z_subj.22              0.524414    0.023338    0.479759    0.508627    0.524542    0.540049    0.569641  0.000657948
z_subj.23              0.496089   0.0230527    0.452424    0.479652    0.496471    0.512198    0.541803  0.000672709
z_subj.24               0.49785   0.0208649    0.455928    0.483954    0.498107    0.511696    0.538429  0.000537567
z_subj.25              0.476502   0.0225321    0.431168    0.461772    0.476758    0.492033    0.519479  0.000696986
z_subj.26              0.453921   0.0250221     0.40224    0.437473    0.455039    0.471159    0.500957  0.000941692
z_subj.27              0.485766   0.0225878    0.442066    0.470206    0.485526    0.501092    0.529327  0.000622197
z_subj.28                0.4864   0.0215555    0.444332    0.471813    0.485744    0.500794    0.528724  0.000625852
z_subj.29              0.503655   0.0212137    0.462262    0.489823    0.503828    0.517481    0.546289  0.000602693
z_subj.30              0.524711   0.0218362    0.483565    0.509668    0.524352    0.539057    0.568538  0.000610652
z_subj.31                0.5358   0.0231962     0.49194    0.519953    0.535808    0.551337     0.58261  0.000754499
