"","correct","earnings","trial","face_val","house_val","house_mult","face_mult","summed_val","image_list","key_entry_list","rt_list","participant","rt","total_fix_face_0","total_fix_house_1","first_image","last_image","final_earnings","abs_diff","fix_num","face_val_total","house_val_total","first_val","second_val","first_mult","second_mult","1_fixation","2_fixation","3_fixation","4_fixation","5_fixation","6_fixation","7_fixation","8_fixation","9_fixation","10_fixation","11_fixation","12_fixation","13_fixation","14_fixation","15_fixation","mean_fix","choice","summedVal","subject","absSummedVal","swapAmount","firstMult","firstVal","secondMult","secondVal","faceTotal","houseTotal","total_0_face","total_1_house"
"1",1,0.5,1,0.75,-0.25,1,1,0.5,"[0, 1]","['space', 'f']","[3.2669137516695628, 10.800173089019154]",103,10.8001730890192,3.26691375166956,7.53325933734959,1,0,186.5,1,2,0.75,-0.25,-0.25,0.75,1,1,3.26691375166956,7.53325933734959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.80350877192982,1,0.5,103,0.5,2,1,-0.25,1,0.75,0.75,-0.25,3.26691375166956,7.53325933734959
"2",1,0.5,2,-0.75,-0.75,1,1,-1.5,"[0, 1]","['space', 'j']","[4.300537081811854, 8.350559515203713]",103,8.35055951520371,4.30053708181185,4.05002243339186,1,0,186.5,0,2,-0.75,-0.75,-0.75,-0.75,1,1,4.30053708181185,4.05002243339186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.80350877192982,0,-1.5,103,1.5,2,1,-0.75,1,-0.75,-0.75,-0.75,4.30053708181185,4.05002243339186
"3",1,2.5,3,0.75,-0.25,1,3,2,"[1, 0]","['space', 'f']","[3.583557789444967, 6.916953559944886]",103,6.91695355994489,3.33339577049992,3.58355778944497,0,1,186.5,1,2,2.25,-0.25,2.25,-0.25,3,1,3.58355778944497,3.33339577049992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.80350877192982,1,2,103,2,2,3,2.25,1,-0.25,2.25,-0.25,3.33339577049992,3.58355778944497
"4",1,2.5,4,-0.25,0.5,1,3,-0.25,"[0, 1]","['space', 'j']","[4.900121917426077, 9.633490782514855]",103,9.63349078251485,4.90012191742608,4.73336886508878,1,0,186.5,0.75,2,-0.75,0.5,0.5,-0.75,1,3,4.90012191742608,4.73336886508878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.80350877192982,0,-0.25,103,0.25,2,1,0.5,3,-0.75,-0.75,0.5,4.90012191742608,4.73336886508878
"5",1,2.5,5,-0.75,0,1,3,-2.25,"[1, 0]","['space', 'j']","[1.9501018300088617, 4.56679212749259]",103,4.56679212749259,2.61669029748373,1.95010183000886,0,1,186.5,0.75,2,-2.25,0,-2.25,0,3,1,1.95010183000886,2.61669029748373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.80350877192982,0,-2.25,103,2.25,2,3,-2.25,1,0,-2.25,0,2.61669029748373,1.95010183000886
"6",1,4.25,6,0.75,-0.5,1,3,1.75,"[1, 0]","['space', 'f']","[3.467343651716874, 6.350194789294619]",103,6.35019478929462,2.88285113757775,3.46734365171687,0,1,186.5,1.25,2,2.25,-0.5,2.25,-0.5,3,1,3.46734365171687,2.88285113757775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.80350877192982,1,1.75,103,1.75,2,3,2.25,1,-0.5,2.25,-0.5,2.88285113757775,3.46734365171687
"7",1,4.25,7,0.25,-0.75,1,1,-0.5,"[0, 1]","['space', 'j']","[4.950190903771727, 9.166978485936852]",103,9.16697848593685,4.95019090377173,4.21678758216513,1,0,186.5,1,2,0.25,-0.75,-0.75,0.25,1,1,4.95019090377173,4.21678758216513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.80350877192982,0,-0.5,103,0.5,2,1,-0.75,1,0.25,0.25,-0.75,4.95019090377173,4.21678758216513
"8",1,4.5,8,0.25,0,1,1,0.25,"[0, 1]","['space', 'f']","[2.5501243367125426, 5.100301091319125]",103,5.10030109131912,2.55012433671254,2.55017675460658,1,0,186.5,0.25,2,0.25,0,0,0.25,1,1,2.55012433671254,2.55017675460658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.80350877192982,1,0.25,103,0.25,2,1,0,1,0.25,0.25,0,2.55012433671254,2.55017675460658
"9",1,4.5,9,-0.75,0.25,1,1,-0.5,"[0, 1]","['space', 'j']","[4.417098717191038, 8.85036927123656]",103,8.85036927123656,4.41709871719104,4.43327055404552,1,0,186.5,1,2,-0.75,0.25,0.25,-0.75,1,1,4.41709871719104,4.43327055404552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.80350877192982,0,-0.5,103,0.5,2,1,0.25,1,-0.75,-0.75,0.25,4.41709871719104,4.43327055404552
"10",1,5.5,10,0.25,0.25,1,3,1,"[1, 0]","['space', 'f']","[2.5001605527122592, 4.550291487481445]",103,4.55029148748145,2.05013093476919,2.50016055271226,0,1,186.5,0,2,0.75,0.25,0.75,0.25,3,1,2.50016055271226,2.05013093476919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.80350877192982,1,1,103,1,2,3,0.75,1,0.25,0.75,0.25,2.05013093476919,2.50016055271226
