Subject	Trial	TimePt	Time	ChoiceX	ChoiceSignedX	ChoiceY	Drx	Trajectory
114	1	1	0.000	-0.0000	0.0000	0.0000	1	0.1780
114	1	2	0.017	-0.0072	0.0072	0.0508	1	0.3490
114	1	3	0.034	-0.0372	0.0372	0.1555	1	0.3541
114	1	4	0.050	-0.0572	0.0572	0.2227	1	0.2770
114	1	5	0.067	-0.0715	0.0715	0.2855	1	0.2760
114	1	6	0.084	-0.0830	0.0830	0.3348	1	0.1604
114	1	7	0.101	-0.0873	0.0873	0.3707	1	0.1390
114	1	8	0.117	-0.0901	0.0901	0.3991	1	0.2429
114	1	9	0.134	-0.0930	0.0930	0.4126	1	0.3372
114	1	10	0.151	-0.0944	0.0944	0.4170	1	0.3366
114	1	11	0.168	-0.0944	0.0944	0.4170	1	0.7737
114	1	12	0.185	-0.0959	0.0959	0.4185	1	0.7735
114	1	13	0.201	-0.0973	0.0973	0.4200	1	1.0000
114	1	14	0.218	-0.1016	0.1016	0.4200	1	1.0000
114	1	15	0.235	-0.1073	0.1073	0.4170	1	1.0000
114	1	16	0.252	-0.1087	0.1087	0.4170	1	1.0000
114	1	17	0.269	-0.1102	0.1102	0.4155	1	1.0000
114	1	18	0.285	-0.1102	0.1102	0.4155	1	1.0000
114	1	19	0.302	-0.1102	0.1102	0.4141	1	1.0000
114	1	20	0.319	-0.1102	0.1102	0.4141	1	1.0000
114	1	21	0.336	-0.1102	0.1102	0.4141	1	1.0000
114	1	22	0.353	-0.1102	0.1102	0.4141	1	1.0000
114	1	23	0.369	-0.1102	0.1102	0.4141	1	1.0000
114	1	24	0.386	-0.1102	0.1102	0.4126	1	1.0000
114	1	25	0.403	-0.1102	0.1102	0.4126	-1	-1.0000
114	1	26	0.420	-0.1030	0.1030	0.4155	-1	-0.9121
114	1	27	0.437	-0.0687	0.0687	0.4380	-1	-1.0000
114	1	28	0.453	0.0200	-0.0200	0.4828	-1	-1.0000
114	1	29	0.470	0.2017	-0.2017	0.5396	-1	-1.0000
114	1	30	0.487	0.4320	-0.4320	0.5755	-1	-1.0000
114	1	31	0.504	0.6652	-0.6652	0.6114	-1	-1.0000
114	1	32	0.521	0.8655	-0.8655	0.6532	-1	-1.0000
114	1	33	0.537	1.0215	-1.0215	0.7010	-1	-1.0000
114	1	34	0.554	1.0386	-1.0386	0.7070	-1	-1.0000
114	1	35	0.571	1.0386	-1.0386	0.7070	-1	-1.0000
114	1	36	0.588	1.0386	-1.0386	0.7070	-1	-1.0000
114	1	37	0.605	1.0386	-1.0386	0.7070	-1	-1.0000
114	1	38	0.621	1.0415	-1.0415	0.7115	-1	-1.0000
114	1	39	0.638	1.0429	-1.0429	0.7220	-1	-1.0000
114	1	40	0.655	1.0429	-1.0429	0.7265	-1	-1.0000
114	1	41	0.672	1.0443	-1.0443	0.7309	-1	-1.0000
114	1	42	0.689	1.0529	-1.0529	0.7534	-1	-1.0000
114	1	43	0.705	1.0672	-1.0672	0.8042	-1	-1.0000
114	1	44	0.722	1.0701	-1.0701	0.8311	-1	-1.0000
114	1	45	0.739	1.0701	-1.0701	0.8535	-1	-1.0000
114	1	46	0.756	1.0615	-1.0615	0.8804	-1	-1.0000
114	1	47	0.773	1.0515	-1.0515	0.9043	-1	-1.0000
114	1	48	0.789	1.0429	-1.0429	0.9223	-1	-1.0000
114	1	49	0.806	1.0315	-1.0315	0.9417	-1	-1.0000
114	1	50	0.823	1.0186	-1.0186	0.9701	-1	-1.0000
114	1	51	0.840	1.0057	-1.0057	0.9940	-1	-1.0000
114	1	52	0.857	1.0014	-1.0014	1.0000	-1	-1.0000
114	1	53	0.873	1.0000	-1.0000	1.0000	-1	-1.0000
114	1	54	0.890	1.0000	-1.0000	1.0000	-1	-1.0000
114	2	1	0.000	-0.0000	0.0000	0.0000	-1	-0.1816
114	2	2	0.017	0.0250	-0.0250	0.1743	-1	-0.1616
