Subject	Trial	Instruction	Food	Liking	Taste	Health	Amount	Choice	ChoiceRT	FirstDevTimeChoice	InitAngleChoice	NumChangeMindChoice	FinalDevTimeChoice	MaxVelocityChoice	DrxFirstDevChoice	TotalAUCChoice	AUCtoNonChosenChoice	AUCtoChosenChoice	MaxDevChoice
45.0000	1.0000	Decrease Desire	LaysClassic	4.0000	6.0000	2.0000	3	-1.0000	2.8895	1.4274	-0.4485	1.0000	1.6963	0.3565	1.0000	0.4045	0.4439	-0.0393	1.4741
45.0000	2.0000	Decrease Desire	Tempeh	3.0000	5.0000	4.0000	2	1.0000	3.2244	2.0819	-0.1881	0.0000	2.0819	0.1967	1.0000	0.3675	0.3675	-0.0000	0.5376
45.0000	3.0000	Decrease Desire	Snickers	4.0000	5.0000	3.0000	2	-1.0000	1.5458	0.7391	-0.1147	1.0000	0.9744	0.3331	1.0000	0.4248	0.4248	-0.0000	1.9407
45.0000	4.0000	Decrease Desire	EnglishCucumber	4.0000	5.0000	6.0000	5	1.0000	1.4440	0.8896	0.1002	0.0000	0.8896	0.1951	1.0000	0.1784	0.1976	-0.0191	0.3817
45.0000	5.0000	Decrease Desire	VanillaGreekYogurt	4.0000	4.0000	5.0000	4	1.0000	1.7982	0.7394	-0.0266	1.0000	0.9411	0.2626	-1.0000	0.3787	0.3787	-0.0000	1.1433
45.0000	6.0000	Decrease Desire	Pringles	5.0000	6.0000	1.0000	2	-1.0000	1.5448	0.9568	0.1529	0.0000	0.9568	0.2491	-1.0000	0.1606	0.1756	-0.0150	0.2799
45.0000	7.0000	Decrease Desire	GreenPepper	3.0000	2.0000	4.0000	2	-1.0000	1.3939	0.6210	0.0173	1.0000	0.7890	0.2048	1.0000	0.0972	0.1462	-0.0489	0.6098
45.0000	8.0000	Decrease Desire	CornFlakes	5.0000	2.0000	1.0000	6	-1.0000	1.2429	0.6884	-0.0027	0.0000	0.6884	0.1805	-1.0000	0.1532	0.1532	-0.0000	0.2458
45.0000	9.0000	Decrease Desire	YorkPeppermintPatties	3.0000	1.0000	1.0000	2	-1.0000	1.1761	0.5545	0.5536	1.0000	0.7393	0.1386	1.0000	0.1930	0.1930	-0.0000	0.5643
45.0000	10.0000	Decrease Desire	Snickers	4.0000	4.0000	2.0000	3	-1.0000	1.1090	0.6385	-0.1287	0.0000	0.6385	0.1508	-1.0000	0.1730	0.1730	-0.0000	0.3444
45.0000	11.0000	Respond Naturally	GreenBeans	1.0000	3.0000	5.0000	4	-1.0000	1.4620	0.3192	0.1935	1.0000	0.8402	0.2817	1.0000	0.5838	0.5838	-0.0000	1.5212
45.0000	12.0000	Respond Naturally	AppleChips	3.0000	5.0000	3.0000	2	-1.0000	1.8477	0.7388	-0.2178	0.0000	0.7388	0.2193	-1.0000	0.1352	0.1352	-0.0000	0.2727
45.0000	13.0000	Respond Naturally	SunChips	4.0000	4.0000	2.0000	4	1.0000	0.9409	0.3528	0.0000	0.0000	0.3528	0.3136	1.0000	0.0045	0.0593	-0.0549	-0.2448
45.0000	14.0000	Respond Naturally	BBQCrisps	4.0000	4.0000	3.0000	2	1.0000	1.3771	0.8563	-0.0009	0.0000	0.8563	0.2573	1.0000	0.1361	0.1511	-0.0150	0.2303
45.0000	15.0000	Respond Naturally	RiceKrispiesCereal	4.0000	5.0000	5.0000	3	-1.0000	1.4952	0.6551	-0.0000	0.0000	0.6551	0.2473	-1.0000	0.0652	0.0897	-0.0246	0.2049
45.0000	16.0000	Respond Naturally	Smartfood	4.0000	6.0000	3.0000	2	1.0000	1.3604	0.7387	-0.3106	0.0000	0.7387	0.2349	1.0000	0.2436	0.2436	-0.0000	0.3404
45.0000	17.0000	Respond Naturally	MnMPeanuts	4.0000	4.0000	3.0000	2	1.0000	0.9907	0.4364	-0.0506	0.0000	0.4364	0.3271	1.0000	0.0141	0.0844	-0.0703	-0.2597
45.0000	18.0000	Respond Naturally	Cheerios	6.0000	5.0000	5.0000	5	-1.0000	1.6971	0.5712	0.0782	1.0000	0.7393	0.3590	1.0000	0.4631	0.5407	-0.0776	1.7659
45.0000	19.0000	Respond Naturally	Broccoli	1.0000	1.0000	6.0000	4	-1.0000	0.9230	0.5207	0.2349	0.0000	0.5207	0.2424	-1.0000	0.1097	0.1107	-0.0010	0.1914
45.0000	20.0000	Respond Naturally	Pringles	6.0000	5.0000	2.0000	5	1.0000	1.0747	0.4866	-0.1836	0.0000	0.4866	0.2375	1.0000	0.0824	0.1172	-0.0348	0.2422
45.0000	21.0000	Respond Naturally	RitzCrackers	5.0000	5.0000	2.0000	5	1.0000	1.0921	0.5712	-0.1539	0.0000	0.5712	0.2131	1.0000	0.0893	0.1131	-0.0238	0.2833
45.0000	22.0000	Respond Naturally	RitzCrackers	4.0000	5.0000	2.0000	2	1.0000	1.2097	0.6216	-0.2893	0.0000	0.6216	0.3004	1.0000	0.1272	0.1406	-0.0133	0.2421
45.0000	23.0000	Respond Naturally	MnMPeanuts	5.0000	6.0000	3.0000	4	1.0000	1.0411	0.5371	-0.0082	0.0000	0.5371	0.3497	1.0000	0.0788	0.0930	-0.0142	0.1707
45.0000	24.0000	Respond Naturally	Orange	5.0000	6.0000	4.0000	1	1.0000	0.9571	0.5203	-0.0766	0.0000	0.5203	0.3133	1.0000	0.1096	0.1096	-0.0000	0.1915
45.0000	25.0000	Respond Naturally	ProMax	1.0000	4.0000	2.0000	4	1.0000	0.9574	0.4535	-0.2584	0.0000	0.4535	0.2200	1.0000	0.1291	0.1443	-0.0152	0.2782
45.0000	26.0000	Respond Naturally	FrozenPeas	6.0000	6.0000	6.0000	6	-1.0000	1.1763	0.3528	0.0058	0.0000	0.3528	0.2957	-1.0000	-0.0006	0.0317	-0.0323	-0.1284
45.0000	27.0000	Respond Naturally	SlimStyles	1.0000	4.0000	4.0000	6	-1.0000	1.0921	0.4872	-0.3941	0.0000	0.4872	0.2113	-1.0000	0.0419	0.0711	-0.0292	0.1510
45.0000	28.0000	Respond Naturally	DriedApricots	4.0000	4.0000	5.0000	5	-1.0000	1.1252	0.5038	0.1817	0.0000	0.5038	0.1766	-1.0000	0.0262	0.0365	-0.0104	0.0849
45.0000	29.0000	Respond Naturally	BrusselsSprouts	1.0000	2.0000	5.0000	4	-1.0000	1.0580	0.5036	0.0181	0.0000	0.5036	0.2389	-1.0000	0.0257	0.0468	-0.0211	0.0901
45.0000	30.0000	Respond Naturally	BabyFoodSweetPotatos	3.0000	5.0000	4.0000	5	-1.0000	1.2262	0.5876	0.0041	0.0000	0.5876	0.1464	-1.0000	0.1748	0.1748	-0.0000	0.2649
