Subject	Trial	Instruction	Food	Liking	Taste	Health	Amount	Choice	ChoiceRT	FirstDevTimeChoice	InitAngleChoice	NumChangeMindChoice	FinalDevTimeChoice	MaxVelocityChoice	DrxFirstDevChoice	TotalAUCChoice	AUCtoNonChosenChoice	AUCtoChosenChoice	MaxDevChoice
65.0000	1.0000	Decrease Desire	PopTartStrawberry	2.0000	2.0000	1.0000	2	-1.0000	0.9240	0.4367	0.4802	0.0000	0.4367	0.5020	-1.0000	-0.0882	0.0076	-0.0959	-0.3318
65.0000	2.0000	Decrease Desire	Caramilk	6.0000	6.0000	1.0000	5	1.0000	0.8902	0.4202	-0.4785	0.0000	0.4202	0.3195	1.0000	0.0033	0.0323	-0.0290	-0.1011
65.0000	3.0000	Decrease Desire	CannedArtichoke	1.0000	1.0000	3.0000	2	-1.0000	1.0759	0.4873	0.1478	0.0000	0.4873	0.3535	-1.0000	0.1424	0.1424	-0.0000	0.3182
65.0000	4.0000	Decrease Desire	MangoChunks	6.0000	6.0000	4.0000	5	1.0000	1.3613	0.4535	-0.4293	0.0000	0.4535	0.2627	1.0000	0.0732	0.1106	-0.0374	0.2990
65.0000	5.0000	Decrease Desire	Fritos	2.0000	2.0000	2.0000	2	-1.0000	0.9579	0.4031	0.2315	0.0000	0.4031	0.3253	-1.0000	0.0630	0.0986	-0.0356	0.2005
65.0000	6.0000	Decrease Desire	Smarties	4.0000	5.0000	2.0000	2	-1.0000	0.8739	0.5041	0.4801	0.0000	0.5041	0.3347	-1.0000	0.0881	0.0881	-0.0000	0.1633
65.0000	7.0000	Decrease Desire	Caramilk	5.0000	5.0000	3.0000	2	-1.0000	1.5127	0.4872	0.6379	1.0000	0.6217	0.4600	1.0000	0.2143	0.2186	-0.0043	1.1859
65.0000	8.0000	Decrease Desire	WaterChestnuts	1.0000	1.0000	4.0000	5	-1.0000	0.9919	0.5209	0.3117	0.0000	0.5209	0.2595	-1.0000	0.0459	0.0812	-0.0353	0.1507
65.0000	9.0000	Decrease Desire	DriedHerring	1.0000	1.0000	3.0000	1	-1.0000	0.8408	0.3697	0.8501	0.0000	0.3697	0.2912	-1.0000	0.0177	0.0209	-0.0032	0.0900
65.0000	10.0000	Decrease Desire	OatBran	2.0000	4.0000	5.0000	2	-1.0000	0.9415	0.4875	0.8970	0.0000	0.4875	0.2607	-1.0000	0.0015	0.0216	-0.0200	0.0859
65.0000	11.0000	Respond Naturally	Onion	3.0000	2.0000	4.0000	4	-1.0000	0.8574	0.3362	-0.0725	0.0000	0.3362	0.2552	-1.0000	0.1195	0.1467	-0.0271	0.2830
65.0000	12.0000	Respond Naturally	MangoChunks	6.0000	5.0000	4.0000	2	1.0000	0.8570	0.3530	-0.1476	0.0000	0.3530	0.4102	1.0000	0.0642	0.0829	-0.0186	0.1840
65.0000	13.0000	Respond Naturally	Cheetos	5.0000	5.0000	2.0000	3	1.0000	1.0580	0.3688	-0.2621	1.0000	0.5873	0.3130	-1.0000	0.3907	0.3907	-0.0000	1.4416
65.0000	14.0000	Respond Naturally	WelchsFruitSnacks	4.0000	4.0000	2.0000	3	1.0000	0.8909	0.3865	-0.0939	0.0000	0.3865	0.3217	1.0000	0.2261	0.2276	-0.0014	0.5530
65.0000	15.0000	Respond Naturally	VanillaGreekYogurt	3.0000	4.0000	4.0000	2	-1.0000	0.7224	0.3356	0.1662	0.0000	0.3356	0.2800	-1.0000	0.0966	0.0966	-0.0000	0.1704
65.0000	16.0000	Respond Naturally	Pringles	3.0000	3.0000	2.0000	2	-1.0000	1.5290	0.3865	0.1449	1.0000	0.6720	0.2637	1.0000	0.2917	0.3348	-0.0431	1.4378
65.0000	17.0000	Respond Naturally	Mackerel	1.0000	1.0000	3.0000	1	-1.0000	0.7900	0.3360	0.1725	0.0000	0.3360	0.3329	-1.0000	0.0239	0.0557	-0.0318	-0.1192
