text,congruent,corrAns,letterColor,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
red,1,left,red,0,0,0,0,left,1,0.969308137894,2016_Oct_21_1710,60.1182210654,stroop,01,01,
blue,0,left,red,0,1,1,5,left,1,1.16670203209,2016_Oct_21_1710,60.1182210654,stroop,01,01,
red,0,down,green,0,2,2,1,down,1,0.685285806656,2016_Oct_21_1710,60.1182210654,stroop,01,01,
green,0,right,blue,0,3,3,3,down,0,0.334240913391,2016_Oct_21_1710,60.1182210654,stroop,01,01,
green,1,down,green,0,4,4,2,right,0,0.317505121231,2016_Oct_21_1710,60.1182210654,stroop,01,01,
blue,1,right,blue,0,5,5,4,down,0,0.433902025223,2016_Oct_21_1710,60.1182210654,stroop,01,01,
green,1,down,green,1,0,6,2,left,0,0.800873041153,2016_Oct_21_1710,60.1182210654,stroop,01,01,
red,0,down,green,1,1,7,1,down,1,0.299351930618,2016_Oct_21_1710,60.1182210654,stroop,01,01,
red,1,left,red,1,2,8,0,right,0,0.169112920761,2016_Oct_21_1710,60.1182210654,stroop,01,01,
green,0,right,blue,1,3,9,3,down,0,0.249387979507,2016_Oct_21_1710,60.1182210654,stroop,01,01,
blue,0,left,red,1,4,10,5,down,0,0.337343931198,2016_Oct_21_1710,60.1182210654,stroop,01,01,
blue,1,right,blue,1,5,11,4,left,0,0.267782926559,2016_Oct_21_1710,60.1182210654,stroop,01,01,
green,1,down,green,2,0,12,2,right,0,0.25208902359,2016_Oct_21_1710,60.1182210654,stroop,01,01,
red,0,down,green,2,1,13,1,down,1,0.26721405983,2016_Oct_21_1710,60.1182210654,stroop,01,01,
green,0,right,blue,2,2,14,3,down,0,0.301279067993,2016_Oct_21_1710,60.1182210654,stroop,01,01,
blue,0,left,red,2,3,15,5,right,0,0.202084064484,2016_Oct_21_1710,60.1182210654,stroop,01,01,
red,1,left,red,2,4,16,0,left,1,0.201742172241,2016_Oct_21_1710,60.1182210654,stroop,01,01,
blue,1,right,blue,2,5,17,4,down,0,0.135038852692,2016_Oct_21_1710,60.1182210654,stroop,01,01,
green,1,down,green,3,0,18,2,right,0,0.10435295105,2016_Oct_21_1710,60.1182210654,stroop,01,01,
blue,0,left,red,3,1,19,5,down,0,0.28418803215,2016_Oct_21_1710,60.1182210654,stroop,01,01,
red,0,down,green,3,2,20,1,left,0,0.200366973877,2016_Oct_21_1710,60.1182210654,stroop,01,01,
blue,1,right,blue,3,3,21,4,down,0,0.217222929001,2016_Oct_21_1710,60.1182210654,stroop,01,01,
green,0,right,blue,3,4,22,3,right,1,0.135052919388,2016_Oct_21_1710,60.1182210654,stroop,01,01,
red,1,left,red,3,5,23,0,down,0,0.150582075119,2016_Oct_21_1710,60.1182210654,stroop,01,01,
red,0,down,green,4,0,24,1,left,0,0.618950843811,2016_Oct_21_1710,60.1182210654,stroop,01,01,
green,0,right,blue,4,1,25,3,down,0,0.237028837204,2016_Oct_21_1710,60.1182210654,stroop,01,01,
blue,0,left,red,4,2,26,5,right,0,0.168397188187,2016_Oct_21_1710,60.1182210654,stroop,01,01,
blue,1,right,blue,4,3,27,4,down,0,0.0828738212585,2016_Oct_21_1710,60.1182210654,stroop,01,01,
