                           mean         std        2.5q        25q         50q          75q      97.5q       mc err
t                      0.633521    0.216947   0.0952076   0.520544    0.679676     0.788775   0.957095   0.00556764
t_std                  0.604443     0.17179    0.371391   0.479381    0.568491     0.693957    1.01521    0.0046043
t_subj.1               0.566515   0.0312426    0.496085   0.546984    0.569588     0.588896   0.619222  0.000604547
t_subj.2               0.953216   0.0491351    0.848741   0.921597    0.957147     0.988347    1.03959  0.000985051
t_subj.3                0.72884   0.0153012    0.694343   0.719854    0.730392     0.739601   0.754667  0.000298453
t_subj.4               0.772397   0.0231126    0.723023   0.757529    0.773939     0.789146   0.812848  0.000459707
t_subj.5                1.15984   0.0320223     1.09181    1.13966     1.16193      1.18223    1.21688  0.000607573
t_subj.6               0.122322   0.0343559    0.047584   0.100603    0.125402     0.147192   0.181259  0.000658377
t_subj.7                1.25884   0.0364555     1.17973    1.23672     1.26216      1.28496    1.32064  0.000791961
t_subj.8                1.15074   0.0313254     1.08449    1.13072     1.15256      1.17302    1.20588  0.000708732
t_subj.9               0.956701   0.0236963    0.905997   0.942159    0.959015     0.973396   0.997283  0.000450718
t_subj.10              0.897346   0.0375303    0.815713   0.873679    0.900043     0.923039   0.963535  0.000989425
t_subj.11              0.304066    0.013158    0.275157   0.296088    0.305084     0.313628   0.326092  0.000251334
t_subj.12              0.643047   0.0201647    0.597734    0.63105    0.645073     0.657273   0.677069  0.000441463
t_subj.13               0.33673   0.0132849    0.306882   0.328766    0.338072     0.346165   0.359093  0.000240223
t_subj.14               1.94209   0.0588594     1.81556    1.90485     1.94549      1.98321    2.04601   0.00129527
t_subj.15               1.26989   0.0449062     1.17298    1.24249     1.27263      1.30116     1.3501    0.0009422
t_subj.16              0.438952   0.0210415    0.392612    0.42599    0.440823     0.453539   0.475607  0.000372871
t_subj.17              0.776026   0.0515664    0.666226   0.743691    0.778682     0.812231   0.866106   0.00108215
t_subj.18              0.631713   0.0287503    0.571015   0.613444    0.633255     0.651723   0.683287  0.000667276
t_subj.19               1.43776   0.0692561     1.29226     1.3933     1.44157      1.48804     1.5618   0.00161772
t_subj.20              0.594223   0.0301618    0.530344   0.575176     0.59616     0.615183   0.648002  0.000547474
t_subj.21              0.869083   0.0284153     0.80847   0.850834    0.870595     0.889516   0.918555  0.000636534
t_subj.22              0.185505    0.033677    0.114476   0.163906    0.188633     0.209425   0.243925  0.000584137
t_subj.23              0.825223   0.0301064    0.758599   0.806413    0.827174     0.846095   0.877519  0.000655637
z                      0.504531  0.00779078    0.489009   0.499441     0.50452     0.509581   0.520303  0.000177746
z_std                  0.120928   0.0290848   0.0678375   0.101517    0.118626     0.138565   0.185481   0.00105126
z_subj.1                0.53355   0.0185655    0.498125   0.520822    0.533191     0.545635   0.571232  0.000451687
z_subj.2               0.511583     0.01694    0.477843   0.500205    0.511367     0.523262   0.544176  0.000319665
z_subj.3                0.55374   0.0182289    0.517764   0.541576    0.553811     0.566214   0.589006  0.000478144
z_subj.4               0.487528   0.0165058    0.455177   0.476688    0.487933     0.498524   0.519201  0.000296186
z_subj.5               0.482819   0.0167518     0.45046   0.471269    0.483003      0.49403   0.514504   0.00033259
