,mean,std,2.5q,25q,50q,75q,97.5q,mc err
z,0.49958880929228033,0.008678135112498148,0.48220522464996179,0.49393291621851199,0.49949757617652191,0.5053382123819995,0.51694179640127125,0.00018449640184145269
z_std,0.141428263945829,0.029418695625635861,0.092179679761694167,0.12072987774633363,0.13864558252114145,0.15932002870749465,0.2072585882074901,0.00071117399103916908
z_subj.1,0.53598535276752524,0.018444054065998323,0.49971414987128243,0.52380068838305205,0.53574878137479853,0.54809883426769701,0.57276413852363606,0.00044491040445698865
z_subj.2,0.50838072227567832,0.01832032771637223,0.47165305563275556,0.49627241978238062,0.50849184413441617,0.52028285207578184,0.54470548794403784,0.00031537222416138131
z_subj.3,0.55705565097141063,0.017935974615024698,0.52217842095956946,0.54476540199637724,0.55693262143766198,0.5691003205881211,0.59247905462582184,0.000394596087827065
z_subj.4,0.48905569261375914,0.016669591446770004,0.45612330881566154,0.47772794606996261,0.48879751432532925,0.5005113245534939,0.52189992461906376,0.00029635847278712513
z_subj.5,0.47801897946970856,0.017470770097172544,0.44480369738086228,0.46620519775580327,0.47774048099104921,0.48948341827684294,0.51251813788848266,0.00031759742467922189
z_subj.6,0.48691278668480081,0.018418415933626312,0.45002102037393099,0.47452257920541974,0.48728230208724693,0.49978871444080791,0.52206280079742251,0.00037514223686534382
z_subj.7,0.49297417347024419,0.017234943222644055,0.45943102503225858,0.48120281238490142,0.49244599773523173,0.50442337082531019,0.52821600440678484,0.00032261788139360982
z_subj.8,0.49360243119791414,0.016965451721261484,0.45928298873330703,0.48253912372500551,0.49397193419708202,0.50505147211246548,0.52591929893415112,0.00033519022823509464
z_subj.9,0.5179288188965373,0.017192829012922437,0.4843759420519273,0.50642474361377832,0.51760413813628481,0.52945621852378144,0.55163979117487116,0.00033336450562149883
z_subj.10,0.43386676849023625,0.020101761317497416,0.39468927952002536,0.42022301407120111,0.43352554351162914,0.44719303763335888,0.47413204033597572,0.0004660303785651742
z_subj.11,0.52153642987620841,0.018918537839656104,0.48441185099135659,0.5088543521537906,0.52181319991139252,0.53446755547961833,0.55856012183490578,0.00037352458294424146
z_subj.12,0.52363836954339327,0.017423316237690251,0.48868375217494076,0.51224447793391148,0.5238458285694092,0.5349813661332361,0.55878136430615066,0.00034693365266388095
z_subj.13,0.47283523133398103,0.017698868847872185,0.43883119103870272,0.46061249196608151,0.47326403161557495,0.48498233893773868,0.50680256961770276,0.00038942071152418958
z_subj.14,0.52201558891989597,0.018902241788947737,0.48531260840150725,0.50936706227799955,0.52232787844317752,0.5348686959817166,0.55810608795203986,0.00031311137590404273
z_subj.15,0.50120697748335385,0.017197951108339053,0.46681397601076213,0.48945824474198679,0.50127139590527336,0.51294464132919326,0.53411361286966552,0.0003127427010084257
z_subj.16,0.49665849030521075,0.018744704584159104,0.46008124396044991,0.484132905024864,0.49683277068746579,0.50911177550349507,0.53438302280479677,0.00040287909275941915
z_subj.17,0.48260463087265243,0.016763099857558604,0.45030579917340507,0.47139403843323441,0.4828772781073894,0.49360260046478666,0.51563046352583131,0.00033361558041874448
z_subj.18,0.51923365019342183,0.016962487234448258,0.48615732471560136,0.5078356001127079,0.51888473096509102,0.53099770582038686,0.55255474162214269,0.00030169248499874006
z_subj.19,0.48246495133258432,0.018974016973310179,0.44499622066147093,0.46991432414985279,0.48279094791012378,0.4951832844507113,0.51934372917069249,0.00040479702730393676
z_subj.20,0.51071603181866898,0.017224033580307517,0.47587943411342887,0.49922815662463771,0.51090429317495401,0.52240431986854907,0.5439555207092448,0.0003318845847499633
z_subj.21,0.51205081018929155,0.017176645024943125,0.47796964852203683,0.50048210579555297,0.51184088872227407,0.5240179305689151,0.54565989974453166,0.00032685283962588806
z_subj.22,0.43569846709625892,0.016891818412611458,0.4025162257441206,0.42407438262946501,0.4359479240578103,0.44728667077382273,0.46896096056435871,0.00035433871797535538
z_subj.23,0.5153073314734482,0.01723246367562261,0.48099095033929984,0.50382059103791643,0.51549113592325302,0.52726822409323626,0.54835244703676123,0.00036833258627639025
v_Intercept,0.060427272606129102,0.026895295480443671,0.0058583852536542649,0.042947000316700221,0.060098947012139525,0.078594585173378834,0.11361482893971012,0.00050403393878162392
v_Intercept_std,0.11464064438633513,0.023613092714177452,0.076219953375027516,0.098195772746602475,0.11203721723256677,0.12827756324619027,0.16925198321518278,0.00058134877367328568
v_Intercept_subj.1,-0.012409364533639443,0.043891164080903496,-0.099491982791596864,-0.041131714218316087,-0.012670338287441074,0.017161773986624902,0.074467085902839486,0.0009680126348988365
v_Intercept_subj.2,0.02876280431428678,0.04146319392719644,-0.053708872982253124,0.00061487110172080139,0.028827303524345704,0.057091223114988737,0.10810939468704504,0.00080265422054566081
v_Intercept_subj.3,-0.00067217360533977264,0.060408021474805472,-0.11969270371519511,-0.041246788791696243,3.21776066352919e-05,0.040788371314022458,0.11672874836835577,0.0012455545959170389
v_Intercept_subj.4,0.15965421008220237,0.054508685328352999,0.055427809382468982,0.12275683292504957,0.15873560380907664,0.19622591467768549,0.26930511079795039,0.0010520158328750869
v_Intercept_subj.5,0.059628877751934338,0.048167786761332598,-0.036759111849176705,0.027530465909128617,0.060865659993430632,0.092324583868476057,0.1520704332815668,0.00093038654498112908
v_Intercept_subj.6,-0.0071888902528480488,0.039509455516701222,-0.084514890261533804,-0.032801421250751354,-0.0075999045358441514,0.019770232996861301,0.069205503514554428,0.00084830574748033256
v_Intercept_subj.7,0.058841624726104318,0.042714578629703799,-0.025603633762355332,0.029025624726568083,0.058942866685831076,0.088220211952499281,0.14320170933266912,0.00081727222837552657
v_Intercept_subj.8,-0.10157808307089893,0.049044424506474622,-0.19968804671811272,-0.13420185626340125,-0.10155352961965403,-0.06796977854561724,-0.0053402682437233007,0.0010095433952472051
v_Intercept_subj.9,-0.0013029526981219973,0.049947591118883805,-0.099327062598734292,-0.035139449737245518,-0.0014402576869995132,0.032467332087599166,0.095765949489596255,0.00098842682021591877
v_Intercept_subj.10,-0.060898475229976087,0.046755420969593446,-0.15454035076045688,-0.091620898198444073,-0.059720903449912682,-0.028617856090415228,0.027853628611671764,0.0010227415510391555
v_Intercept_subj.11,-0.077024274691433012,0.062984038445930604,-0.1987556936639589,-0.119306238455893,-0.076070167570004288,-0.033983101504618807,0.043294061524110222,0.0012726779055047721
v_Intercept_subj.12,0.0677546864396045,0.056245170860108273,-0.044178460692548119,0.029141494403811315,0.068022247444073189,0.10595499309208016,0.17523836588475639,0.0010241786044659471
v_Intercept_subj.13,0.23950724290789749,0.061710521460601492,0.11868552347764405,0.19766751090533108,0.24052192791612775,0.2805068947211532,0.36045193795176755,0.001382620367276652
v_Intercept_subj.14,0.07873047159928824,0.042132672996442903,-0.002956978563243777,0.050643399350238621,0.078537308849908463,0.10658105808990585,0.16196619242408844,0.00071468239473047282
v_Intercept_subj.15,0.088508554455457356,0.041699093618134765,0.0069751430890237047,0.060334317476344712,0.088600458793478665,0.11689335040535653,0.17049211628698596,0.00073606483979888281
v_Intercept_subj.16,0.17116247053135153,0.051366207476703743,0.073162068805068495,0.135388416775965,0.17056691122306117,0.20550491021279904,0.27358935378078109,0.0010661239817347397
v_Intercept_subj.17,0.063039813272350628,0.04008801098001006,-0.014901147640469493,0.036564260424966258,0.062546621051428872,0.089444855891349873,0.14287176846850647,0.00074531738877241769
v_Intercept_subj.18,0.057701364888470719,0.051567715340139278,-0.045186671331371095,0.023003249107411722,0.058297355407813368,0.092990241377727906,0.15541621403627948,0.00095484973295262201
v_Intercept_subj.19,-0.092209802687654913,0.042605434615764465,-0.17824076586490889,-0.12075350103095542,-0.091643808460439902,-0.064376330988594133,-0.0081934108989786814,0.00084649844865316291
v_Intercept_subj.20,0.16104005078567094,0.050715720762526499,0.066170637656625744,0.12648188834732788,0.15970114459685192,0.19529125321691124,0.26245234606151729,0.00096419038112824829
v_Intercept_subj.21,0.22003292020862869,0.053465508662009387,0.11810798761212385,0.18260674861605164,0.21952944031932753,0.25668144327775838,0.32771222308122783,0.0010339481808772739
v_Intercept_subj.22,0.15073172802130072,0.041248108710833183,0.07162358665583228,0.12309565009895164,0.15009795116442862,0.17887453459715463,0.23169763426457957,0.00077501614122654999
v_Intercept_subj.23,0.14515567951090289,0.048956030153533309,0.054776714744435975,0.1108599814447859,0.14493641837930554,0.17698561607494062,0.24399130980195266,0.00099436964656919678
v_face_mult_1,0.4954502158766278,0.02077661911536963,0.45475440027013436,0.48159506300230065,0.49553553271289918,0.5096903625321576,0.5353948777072367,0.00037789001166648768
v_house_mult_1,0.38738398749188035,0.021005116901524765,0.34626110493180406,0.37309375365088365,0.38712961942321961,0.40118728804227471,0.43014232869346469,0.00036765895997894213
v_face_mult_2,1.0804566157031896,0.038247432859623461,1.0055798373843547,1.0548689215221916,1.0802546785955569,1.1059118731924595,1.1570188566504134,0.00065454798070877613
v_house_mult_2,1.0321418191149987,0.037297274805312947,0.95956485374643796,1.0066045868125371,1.0317873386562963,1.0575322668184384,1.1058596521331945,0.00053306673247764951
v_face_mult_3,1.7243828702246391,0.045060041055108649,1.635918614452937,1.694098909080102,1.7251938015709323,1.7550049139759027,1.8115417989153209,0.00061696568564337001
v_house_mult_3,1.6340394610397095,0.043965757582929303,1.5465812866739015,1.6047551390864743,1.6349110633750592,1.6639481501485562,1.7187109590652998,0.00077775269065659381
a_Intercept,2.9981377299653995,0.13594547878621951,2.7286248130229107,2.9093688471942616,2.9966450627226617,3.0905987029025228,3.2610077450340058,0.0020276510835664217
a_Intercept_std,0.62940159724367917,0.10927428482903143,0.45517794228132735,0.55313173701978546,0.61592436745974233,0.6911301018178635,0.88495579566010185,0.0020430043634820918
a_Intercept_subj.1,3.3771237583434739,0.1005590127864639,3.1841376277867903,3.3102881762284282,3.3749715620710377,3.4451826746852059,3.5777863721336423,0.0016154737575921636
a_Intercept_subj.2,3.7663731441933361,0.12475303377205493,3.531663504630155,3.6800435541583658,3.7601790321541628,3.8485095816572614,4.0234199775982873,0.0026713033938590199
a_Intercept_subj.3,2.1616935387182856,0.067056431850051487,2.0316615938484142,2.1161260520697391,2.1618963402140587,2.2068121642720921,2.2945864816051018,0.0014565835094483607
a_Intercept_subj.4,2.3930131579146146,0.077060230261394247,2.2495286383721687,2.3385401158840669,2.3913576992591814,2.4437000596285263,2.5497957595562344,0.0016695094207003409
a_Intercept_subj.5,2.8873867491182326,0.093813962613158705,2.7099423371869014,2.8218324739682501,2.8855087853419086,2.9498258702728517,3.0777750557418226,0.0019782761466555108
a_Intercept_subj.6,3.8070113980013209,0.1025315857470154,3.6083605546191677,3.737683566586369,3.8048598633447503,3.8748161373009244,4.0136044613537853,0.0017458782234777773
a_Intercept_subj.7,3.3332127059906589,0.10483585150984133,3.1429636755930375,3.2584093574193016,3.329440797657464,3.4030525645098466,3.5487646129866754,0.0020809522049136707
a_Intercept_subj.8,2.8217317893871496,0.08883988670252245,2.6531568126894132,2.7605104391063122,2.8201292615326459,2.8799794999713431,3.0035979594409579,0.0020171653805546581
a_Intercept_subj.9,2.7394255444463669,0.081350119435729576,2.582798844868722,2.6846374804192172,2.7386464948478397,2.7941531235399695,2.9014089266123384,0.0016727047409784549
a_Intercept_subj.10,3.3046670190433574,0.10099341904585719,3.1190162649371618,3.2371216918806662,3.3003027053208545,3.3682487846072218,3.519398936749889,0.0018555349154511247
a_Intercept_subj.11,2.3138717899131236,0.068746382067847889,2.1813360743069938,2.2682565229896832,2.3122026515466292,2.3603013017378176,2.4516070348165542,0.0010180625907108601
a_Intercept_subj.12,2.2193267773280945,0.067044522004386042,2.0918443725804314,2.1732262466223635,2.2176903197339799,2.2641419955064443,2.3536457969509259,0.0014074166998981931
a_Intercept_subj.13,2.2781530439413249,0.067897363494529933,2.1488150989455823,2.2312761478801573,2.2765526767357542,2.3232664564496024,2.4158412714449655,0.0012651446213452415
a_Intercept_subj.14,3.9978687878672905,0.1469093886066733,3.7183440392461744,3.8989477795283198,3.9932908473941593,4.0938407703481596,4.2998756830776959,0.0034251687701884132
a_Intercept_subj.15,3.3793782114335089,0.11112811184581564,3.168300013169616,3.3041905363983384,3.3761597683724576,3.452001773658917,3.6075925840032905,0.0024987602872825728
a_Intercept_subj.16,2.9211595481183439,0.089117076743003745,2.7490690897642844,2.8605344385568396,2.9202678576170351,2.9801365909470716,3.0958789355433582,0.0015557101822020385
a_Intercept_subj.17,3.5278814921652506,0.11705132014052144,3.3108761342691593,3.4488542422704023,3.5240758288398775,3.6027695685199324,3.7663837808990013,0.0027699128568957985
a_Intercept_subj.18,2.5648056105384436,0.080995839322738475,2.4142542875020241,2.5095944055120878,2.5637206751028785,2.617145372032506,2.7287065110097446,0.0019924773499080989
a_Intercept_subj.19,4.1083146438370211,0.15123711051722932,3.8286310247251709,4.0060784447214894,4.1020142364259531,4.2023143228192863,4.4290367578785546,0.003409414300274448
a_Intercept_subj.20,2.7247012569714535,0.086047871707934029,2.5658317528966195,2.6657715861704214,2.7216221737674076,2.7782546001323642,2.9044130779493464,0.0019331140663544186
a_Intercept_subj.21,2.6306344198804634,0.087016476786530406,2.4639032186922858,2.5710995040187044,2.6285761053910828,2.6876832269574775,2.8042268508446875,0.0018426983868459971
a_Intercept_subj.22,2.8851546388517368,0.067799906344043412,2.7520515645666519,2.8391456980345766,2.8841071190166341,2.9303327876293035,3.0227819528974695,0.0012449833506071183
a_Intercept_subj.23,2.8251774443410489,0.09037782157660243,2.6529383330990401,2.7629606620697018,2.8231487985615682,2.8849405925960574,3.0057062884877737,0.0017620695754177185
a_C(multNum)[T.1],0.11669097141468868,0.034119357361580005,0.047925783831626025,0.093215574278256427,0.11752287340964465,0.13940951683170044,0.18277133554005195,0.00097802340602893396
a_C(multNum)[T.2],0.34690716129927762,0.049059806097990426,0.25250540404580618,0.31366284749163631,0.34543378819858633,0.37936539121640189,0.44701475156934367,0.0010819706664931797
t_Intercept,0.22848877641681734,0.14437556419832573,0.013485711730556751,0.10683595595731536,0.21402665596970755,0.33367603522659423,0.5238945544115412,0.0030792612928331117
t_Intercept_std,0.53733870320366239,0.11131770169914264,0.34724442798613614,0.45803586335471941,0.52969236314004098,0.60567327214728883,0.78464058427786665,0.0023355175243069907
t_Intercept_subj.1,0.39150917388227308,0.029442194674195413,0.32665411687267054,0.3733134002188605,0.39388574203608939,0.41230587612463709,0.44179596003755595,0.00055207932966817451
t_Intercept_subj.2,0.60743092120436992,0.044404504810261182,0.51244111277163029,0.57873358474850523,0.61068968920629085,0.63945142084282436,0.68461386779278111,0.00091013796298571384
t_Intercept_subj.3,0.35583114681669931,0.014943645594393968,0.32512832128175839,0.34591332587993712,0.35696647881700372,0.3666634132006657,0.38157657228761055,0.00032994415031290951
t_Intercept_subj.4,0.41217015168988502,0.021845537569813459,0.36644806162511201,0.39787126475845941,0.41364572010206635,0.42800516068400191,0.45010599227512199,0.00045481474388698294
t_Intercept_subj.5,0.81683721809291088,0.028296690684796646,0.75735928286172793,0.79792695195374574,0.81907954924573123,0.83760555446068652,0.8659210751628843,0.00062952603695681992
t_Intercept_subj.6,0.0088909557735261675,0.0067672905426101639,0.0012386647753204647,0.0037492140501030249,0.0071259232077282054,0.011991523927882525,0.02653962867891993,0.00014987276358578423
t_Intercept_subj.7,0.83813604058903546,0.03708825803672524,0.75883224696723717,0.81478126890875624,0.84064795428610806,0.86467290037166844,0.90401229065462607,0.00073783095373604107
t_Intercept_subj.8,0.79239512457168859,0.02788718627940363,0.73220748220708476,0.77530618658647321,0.79426692489461825,0.81149912239029964,0.84211701530995453,0.00062191205612279604
t_Intercept_subj.9,0.59605701103416142,0.020543751218219941,0.55146573982973812,0.5828396047567227,0.59787095502854559,0.61065523087861118,0.63201254591373857,0.0004113950656268071
t_Intercept_subj.10,0.25608105213314264,0.030489797306327233,0.18814738665589331,0.23770456471251819,0.25822554473917353,0.27794798641541218,0.30818841877119674,0.00066947813095051783
