                            mean         std        2.5q         25q         50q         75q       97.5q       mc err
z                       0.507132  0.00647589    0.494061    0.502886    0.506937    0.511555    0.519922  0.000182224
z_std                   0.122072    0.022895   0.0836844    0.106545     0.11987    0.134987    0.173994  0.000904169
z_subj.1                0.520157   0.0150975    0.491578    0.509541    0.519811    0.530491    0.550725  0.000402585
z_subj.2                 0.52745   0.0145829     0.49896     0.51771    0.527479    0.537226    0.555003   0.00038688
z_subj.3                0.552558   0.0166429    0.519171    0.541911    0.552219    0.563229    0.585978  0.000522342
z_subj.4                0.473908   0.0167435     0.44081    0.462667    0.474198    0.485152    0.506215  0.000552039
z_subj.5                0.484064   0.0150895    0.455056    0.473856    0.484026    0.493945    0.514475  0.000460405
z_subj.6                0.560896   0.0155326     0.53051    0.550522    0.561493    0.571251    0.590679  0.000505978
z_subj.7                  0.4983   0.0147162    0.469409    0.488684    0.498725    0.507844    0.527093  0.000396666
z_subj.8                0.497152   0.0146682    0.468136    0.487354    0.497539    0.507196    0.525391   0.00038961
z_subj.9                0.514528   0.0154259    0.484628    0.503843    0.514564    0.524993    0.544243   0.00046768
z_subj.10               0.499619   0.0148479    0.470038    0.489799    0.499654    0.509475    0.527975  0.000436293
z_subj.11               0.490088   0.0145792    0.460988     0.48003    0.490207    0.499842    0.518983  0.000414872
z_subj.12               0.496552   0.0145413    0.468248    0.487029     0.49644    0.506274    0.524755  0.000416372
z_subj.13               0.481229   0.0154027    0.450863    0.470713    0.480969    0.491787    0.510795  0.000428729
z_subj.14                  0.524   0.0144394    0.496746    0.514315    0.524151    0.533532    0.552087  0.000415794
z_subj.15               0.506587    0.014594    0.478196    0.496453    0.506876    0.516542    0.534982  0.000388546
z_subj.16               0.512253   0.0158221    0.482184    0.501107    0.511956    0.523299    0.543477  0.000474935
z_subj.17               0.570698   0.0153139    0.540762      0.5604    0.570855    0.580694    0.600711  0.000494032
z_subj.18               0.496539    0.015606    0.464536    0.485914     0.49721    0.507564    0.526172  0.000426333
z_subj.19               0.499461   0.0154783    0.469535    0.488693    0.499742    0.509974    0.528526  0.000377826
z_subj.20                0.50276   0.0154786    0.472483    0.492233    0.502819    0.513182    0.533047  0.000440325
z_subj.21                0.49891   0.0150585     0.46921    0.489066    0.498928    0.509535    0.528594  0.000434012
z_subj.22               0.514768   0.0150869    0.485145    0.504261    0.515387    0.525266    0.544107  0.000398334
z_subj.23               0.510819   0.0149406    0.481449    0.501055    0.511069    0.521268    0.538476  0.000416176
z_subj.24               0.494798   0.0142382    0.467866    0.485085    0.494611    0.504132    0.523928  0.000390209
z_subj.25               0.472717   0.0155629      0.4415    0.462079    0.472946    0.483269    0.501906  0.000480448
z_subj.26               0.457709   0.0159906    0.425273    0.447311    0.458356    0.468053    0.488546  0.000523543
z_subj.27                0.47658   0.0148136    0.445638    0.466515    0.477161    0.486432    0.504838  0.000417181
z_subj.28               0.518527   0.0148223     0.48944    0.508445    0.518615    0.528655    0.548098  0.000432028
z_subj.29               0.512756   0.0149572    0.482601    0.502907    0.512731    0.522255     0.54248  0.000399131
z_subj.30               0.535503   0.0151491    0.505477    0.525204    0.535421    0.545748    0.564967  0.000476952
z_subj.31               0.516718   0.0152427     0.48666    0.506709    0.516775    0.527396    0.545782  0.000451525
v_Intercept           0.00184315   0.0199129  -0.0378352  -0.0115388  0.00200282   0.0149501   0.0422536  0.000472482
v_Intercept_std         0.101674   0.0166417   0.0737397   0.0899459   0.0999238    0.111036    0.140464  0.000557142
v_Intercept_subj.1    -0.0778445   0.0391195   -0.156284   -0.103581  -0.0773251  -0.0504126 -0.00206269   0.00109608
v_Intercept_subj.2    -0.0811021   0.0391244   -0.156908   -0.108406   -0.080982  -0.0543159 -0.00663136  0.000998777
