                            mean          std        2.5q          25q          50q         75q       97.5q       mc err
z                       0.503714   0.00705357    0.489369     0.499082     0.503672    0.508463    0.517806  0.000211376
z_std                   0.134176    0.0248013    0.091938     0.116205     0.131848    0.149809    0.187966  0.000942797
z_subj.1                0.534326    0.0174348    0.500875     0.522699     0.534174    0.546167    0.568975  0.000504637
z_subj.2                0.516232    0.0169851    0.481509     0.504837     0.516667    0.527855      0.5487  0.000474024
z_subj.3                0.551329    0.0189412    0.514261     0.538456     0.551288    0.563799    0.588835  0.000693349
z_subj.4                0.467589    0.0180962    0.431675     0.455437     0.467288    0.479875     0.50303  0.000535666
z_subj.5                0.472944    0.0176466     0.43742     0.461463     0.472995    0.484479    0.509247  0.000507009
z_subj.6                0.560193    0.0186736    0.524101     0.547762     0.560048    0.572062    0.597767  0.000603894
z_subj.7                0.503801    0.0168098    0.469707     0.493053     0.504421    0.514936      0.5366  0.000431706
z_subj.8                0.494144    0.0168054    0.461174     0.483133      0.49419    0.505601    0.526783  0.000470266
z_subj.9                0.510861    0.0167665    0.478574     0.499402     0.510579     0.52276    0.542759  0.000507487
z_subj.10               0.503661    0.0166358    0.470876     0.492834     0.503671    0.514695    0.536623  0.000377441
z_subj.11               0.471568    0.0177344    0.436911     0.459683     0.471832    0.483587    0.505317  0.000557956
z_subj.12               0.481951    0.0172621    0.446147     0.470888      0.48208    0.493759    0.513805  0.000504939
z_subj.13               0.481638    0.0167948    0.448474     0.470767     0.481336    0.492909    0.514683  0.000470405
z_subj.14               0.513988     0.016442    0.481899     0.502854     0.514139    0.524549    0.547268  0.000462501
z_subj.15               0.505439    0.0173494    0.470347     0.494212     0.505017    0.516973    0.539893  0.000523561
z_subj.16               0.506776    0.0175859    0.472533     0.495275     0.507056    0.518465    0.541513  0.000559508
z_subj.17               0.562254    0.0175037    0.528808     0.550301     0.562337    0.574257    0.597202  0.000521473
z_subj.18               0.486526    0.0178233    0.452685     0.474367     0.486451    0.498796    0.521273  0.000465583
z_subj.19               0.491967    0.0170233    0.459319     0.480062     0.491778    0.503625    0.526234  0.000523164
z_subj.20               0.493672    0.0173061    0.459455     0.481546     0.494022    0.505389    0.526458  0.000430067
z_subj.21               0.498956    0.0163284    0.465408     0.487882     0.499172    0.509846    0.529532  0.000421614
z_subj.22               0.504746     0.016824    0.472122     0.493563     0.504532    0.515833    0.536786   0.00047209
z_subj.23               0.506318    0.0167191    0.471832     0.495077     0.506415    0.518026    0.539297  0.000428237
z_subj.24               0.488531    0.0170922      0.4541     0.477377      0.48856    0.500157    0.520819  0.000508697
z_subj.25               0.465309     0.018116    0.429184     0.453117     0.465426    0.477828    0.499813  0.000564029
z_subj.26               0.465549     0.017813    0.430445     0.453548     0.465926    0.477659    0.499385  0.000538719
z_subj.27               0.475895     0.017762    0.440547     0.463743     0.476064    0.488066    0.511108   0.00050037
z_subj.28               0.501908    0.0175226    0.468907     0.489572     0.501676    0.513674    0.535364  0.000390099
z_subj.29               0.503482    0.0168671    0.469252     0.492014     0.503419    0.514616    0.537292  0.000446765
z_subj.30               0.555453    0.0167307    0.524529     0.543668     0.555314    0.566563    0.588453  0.000490208
z_subj.31               0.526844    0.0174976    0.493082     0.515265     0.526775    0.538782    0.561231  0.000504408
v_Intercept            0.0238626    0.0245916   -0.024356   0.00747614    0.0242192   0.0399837   0.0735619  0.000664713
v_Intercept_std         0.121848    0.0186873   0.0897398     0.108607     0.120118    0.133398    0.164728  0.000488935
v_Intercept_subj.1     -0.180464    0.0527986   -0.282275     -0.21739    -0.180312   -0.143177  -0.0782126   0.00143119
v_Intercept_subj.2  -0.000501568    0.0489129  -0.0966039   -0.0328345  0.000142863   0.0316461   0.0973927   0.00132112
v_Intercept_subj.3      0.118698    0.0431356   0.0337601    0.0902225      0.11947    0.148432    0.203229   0.00129605
v_Intercept_subj.4     0.0430713    0.0404058  -0.0383197     0.017217    0.0438688   0.0706851    0.122483   0.00108203
v_Intercept_subj.5    -0.0607346    0.0484939    -0.15602   -0.0934448    -0.061561  -0.0276897   0.0361042   0.00127615
v_Intercept_subj.6      0.048759    0.0457146  -0.0450553    0.0193116    0.0496082   0.0787157    0.136527   0.00129951
v_Intercept_subj.7      0.227193    0.0525407    0.129281     0.192008     0.226079    0.262429    0.335081   0.00141071
v_Intercept_subj.8    -0.0110357    0.0482639   -0.106229   -0.0441446   -0.0101053   0.0235356    0.080012   0.00132791
v_Intercept_subj.9     0.0657763    0.0390276 -0.00786682    0.0382211    0.0665915   0.0918752     0.14285   0.00110384
v_Intercept_subj.10    0.0171549    0.0412674  -0.0612722   -0.0122235    0.0173576   0.0456042   0.0974587   0.00107133
v_Intercept_subj.11     0.224627     0.052908    0.118032     0.189287     0.224203    0.261105    0.326459   0.00158433
v_Intercept_subj.12    0.0320445    0.0545267  -0.0720616  -0.00531101    0.0323219   0.0690916     0.13928   0.00149666
v_Intercept_subj.13   -0.0376437    0.0515449   -0.137387   -0.0717737   -0.0371038 -0.00327482   0.0661606   0.00140138
v_Intercept_subj.14    -0.152029    0.0456486   -0.240406    -0.181445    -0.152068   -0.122245  -0.0641591   0.00128649
v_Intercept_subj.15   -0.0906061    0.0501165   -0.193014     -0.12338    -0.088781  -0.0572672   0.0087898   0.00153084
v_Intercept_subj.16     0.209584    0.0444333    0.122857     0.178591     0.209471     0.23947    0.298647   0.00131746
v_Intercept_subj.17    0.0896924    0.0662317  -0.0400313    0.0459989    0.0899259    0.135059    0.217671   0.00187972
v_Intercept_subj.18    0.0263378    0.0411203  -0.0535542 -0.000876226    0.0266393   0.0535997    0.106558   0.00116405
v_Intercept_subj.19   -0.0208642    0.0380955   -0.096356    -0.046485    -0.019917  0.00576098   0.0493791   0.00115761
v_Intercept_subj.20    0.0763449    0.0412058 -0.00440088    0.0491405    0.0762572    0.104654    0.154642   0.00105407
v_Intercept_subj.21    0.0205633    0.0412239  -0.0592918  -0.00761207    0.0215787   0.0486578   0.0996543   0.00116988
v_Intercept_subj.22     0.210555    0.0455289    0.118785     0.179938      0.21126    0.242452    0.299509   0.00127544
v_Intercept_subj.23    0.0473613    0.0409365  -0.0311932    0.0198476    0.0468612   0.0750049    0.129851  0.000982539
v_Intercept_subj.24    0.0248994    0.0440544  -0.0603764  -0.00470807    0.0239385   0.0539347    0.112315   0.00142695
v_Intercept_subj.25   0.00454746    0.0408707  -0.0763713   -0.0235341    0.0042727   0.0316697   0.0872383   0.00129576
v_Intercept_subj.26   -0.0503051    0.0470889   -0.145044   -0.0816232   -0.0498619  -0.0192725   0.0425779   0.00129658
v_Intercept_subj.27   -0.0971528    0.0524677   -0.197297     -0.13212   -0.0974589  -0.0619515   0.0100302   0.00149174
v_Intercept_subj.28   -0.0208725    0.0464899   -0.109553   -0.0528979   -0.0212786  0.00969665   0.0739414    0.0010899
v_Intercept_subj.29     0.179268    0.0439427   0.0933438     0.150723     0.180104    0.206778    0.266553   0.00114492
v_Intercept_subj.30    -0.111765    0.0449994   -0.202404    -0.141179    -0.112775  -0.0803643  -0.0257246   0.00128292
v_Intercept_subj.31   -0.0789616    0.0431765   -0.161741    -0.108779    -0.078947  -0.0492409   0.0078035   0.00122807
v_face_mult_01          0.280302    0.0357478    0.211323     0.255059     0.280888    0.305581    0.347989  0.000722777
v_house_mult_01         0.288303    0.0362246    0.218159     0.263836     0.288447    0.313126     0.35947  0.000674013
v_face_mult_05          0.416771    0.0358568     0.34649     0.392269     0.416868    0.440295    0.490168  0.000795589
v_house_mult_05         0.385305    0.0345608      0.3153     0.362613     0.385791      0.4078    0.454408  0.000710002
v_face_mult_1           0.843458    0.0204339    0.804108     0.829923     0.842961    0.857328     0.88307  0.000521554
