,mean,std,2.5q,25q,50q,75q,97.5q,mc err
z,0.50465624972960477,0.008304422434266644,0.48798213706167248,0.49928340834399798,0.50452504936722808,0.51018898057836115,0.52105922319633291,0.00028128683305933067
z_std,0.13664383198993926,0.032693657738726373,0.078460487892615671,0.11339266792367025,0.13496167005121351,0.15805354642216912,0.20548350219392858,0.0016383513453715648
z_subj.1,0.52781348564244635,0.021078390226849153,0.48806997612183084,0.51442988470137496,0.52741028250238109,0.54056065918915686,0.57249254980557751,0.00055197023121276209
z_subj.2,0.51554771740790573,0.022065409737038584,0.47282469207570083,0.50078623337697648,0.51558384629287657,0.53077802247219041,0.55883524137599105,0.00056705861459127919
z_subj.3,0.53400963281361857,0.024206433369754646,0.48698144957441264,0.51815299581818142,0.53354691438517776,0.55001003227702161,0.58256538950900671,0.00079812718467850311
z_subj.4,0.4767329667697815,0.024296144841540034,0.42780398390159907,0.45998992912843106,0.47719719251082882,0.49378478438695617,0.52321202845694736,0.00077268030497831797
z_subj.5,0.47011857914374011,0.023335810338961583,0.42435451627338122,0.45422661157668048,0.47045566486045143,0.48570984021332059,0.51701024001756479,0.00073608428909274206
z_subj.6,0.563763797904554,0.026012182891668862,0.51332614739137739,0.54625942134645988,0.56255807679301184,0.58125116446322733,0.61536702668354237,0.0009977274907100439
z_subj.7,0.49990984818667794,0.021230911057027856,0.45683973479921802,0.48558021458502981,0.49980993222984743,0.5144696127676549,0.5406226126522965,0.00065187907041003583
z_subj.8,0.50729018933516856,0.021669563112105394,0.46460826234405189,0.49239883848047816,0.50729739460138457,0.52239343261357107,0.55014289677310468,0.00058090634308482418
z_subj.9,0.50146849812151606,0.021744445814145766,0.45788533144574983,0.48729905585027189,0.50166543076084447,0.51628257525863019,0.54205946487313739,0.00061347443971304671
z_subj.10,0.49676408695732654,0.02149529822042736,0.45452049302062564,0.48271408964206775,0.49658917087832222,0.51129447667108729,0.53857190776242803,0.00057556790538849858
z_subj.11,0.48655057701839077,0.022198748199410628,0.44103414468617075,0.47187804449112697,0.48722348126818188,0.50115956390196104,0.52876997697788908,0.0006208781807550489
