FoodNum	Food	LikingMean	LikingSD	LikingN	HealthMean	HealthSD	HealthN	TasteMean	TasteSD	TasteN
1	frozenyogurt.bmp	0.76	1.0909	25	0	1	25	0.56	1.4166	25
2	chocolate_mm.bmp	0.32	1.314	25	-0.76	1.2342	25	0.72	1.1	25
3	orange.bmp	0.48	1.2623	25	0.44	1.5567	25	0.56	1.1576	25
4	whoppers.bmp	-0.12	1.2689	25	-0.56	1.193	25	0.24	1.1648	25
5	MrGoodbar.bmp	0.24	1.2675	25	-0.92	0.9967	25	0.36	1.1136	25
6	Pringles.bmp	0.44	1.4166	25	-1	0.7638	25	0.32	1.376	25
7	FrostedFlakes.bmp	0.2	1.291	25	-0.6	0.8165	25	0.64	1.2207	25
8	orangejello.bmp	0.08	1.1518	25	-0.4	1.118	25	0.08	1.115	25
9	Oreos.bmp	0.64	1.2543	25	-0.96	1.2069	25	0.68	1.1446	25
10	liverwurst.bmp	-0.92	1.222	25	0	1.0408	25	-0.6	1.4142	25
11	cherryicecream.bmp	0.28	1.3077	25	-1.08	0.7024	25	0.72	1.2083	25
12	oatmealcookies.bmp	0.24	1.2675	25	-0.4	1.1547	25	0.2	1.291	25
13	cheezits.bmp	-0.04	1.3064	25	-0.72	1.1	25	0	1.291	25
14	keeblerrainbow.bmp	0.4	1.2583	25	-0.76	1.2675	25	0.6	1.1547	25
15	pringlescheezums.bmp	0.16	1.3128	25	-0.92	0.8622	25	0.48	1.1225	25
16	cornedbeef.bmp	-1.04	1.3064	25	-0.52	1.0847	25	-0.68	1.376	25
17	granolabar.bmp	0.12	1.4236	25	-0.04	1.2069	25	0.36	1.2207	25
18	waterchestnuts.bmp	0	1.2583	25	0.28	1.2423	25	0.28	1.3077	25
19	naturevalley.bmp	0.24	1.0116	25	-0.6	1.0408	25	0.48	1.1225	25
20	PayDay.bmp	0.48	1.1944	25	-0.6	1.2583	25	0.68	1.1075	25
21	BabyRuth.bmp	0.44	1.3565	25	-0.96	1.0985	25	0.88	1.2356	25
22	frostedanimalcrackers.bmp	0.04	1.2069	25	-1	0.866	25	0.2	1.291	25
23	strawberries.bmp	0.68	1.547	25	0.76	1.3317	25	0.68	1.5199	25
24	milano.bmp	0.76	1.1648	25	-0.6	1.118	25	1.04	0.9781	25
25	trix.bmp	-0.04	1.4283	25	-0.76	1.1648	25	0.64	1.1504	25
26	TootsieRolls.bmp	0.12	1.2689	25	-1.04	0.9781	25	-0.08	1.222	25
27	laffytaffyred_one.bmp	-0.2	1.291	25	-0.88	0.8813	25	0	1.2583	25
28	AnimalCrackers.bmp	0.24	1.3928	25	-0.48	1.159	25	0.44	1.121	25
29	nesquick.bmp	0.44	1.3254	25	-0.64	1.036	25	0.4	1.4142	25
30	hersheymilk_several.bmp	-0.12	1.2014	25	-0.56	0.9165	25	0.04	1.241	25
31	applesauce.bmp	0	1.5	25	-0.04	1.1719	25	0.08	1.3515	25
32	Doritosranch.bmp	0.2	1.0408	25	-0.72	0.9798	25	0.28	1.1372	25
33	jollyranchergreen.bmp	-0.32	1.4353	25	-0.68	1.0693	25	-0.16	1.3128	25
34	hersheykisses.bmp	0	1.2247	25	-0.76	0.7789	25	0.32	1.249	25
35	artichoke.bmp	-0.32	1.376	25	0.2	1.1547	25	-0.2	1.4434	25
36	creamsicle.bmp	0.48	1.2949	25	-0.4	1.2583	25	0.6	1.291	25
37	ChipsAhoy_small.bmp	0.48	1.159	25	-0.48	1.2623	25	0.44	1.261	25
38	chocpudding.bmp	0	1.5	25	-0.6	1.118	25	0.12	1.3329	25
39	Toberlorone.bmp	0.28	1.3699	25	-0.88	0.8813	25	0.72	1.1372	25
40	clamchowder.bmp	0.16	1.4629	25	-0.36	0.8103	25	0.52	1.3266	25
41	oreocandies.bmp	0.16	1.2138	25	-0.28	1.0214	25	0.24	1.1284	25
42	snickers.bmp	0.68	1.4059	25	-0.8	1.1547	25	0.84	1.2806	25
43	Lindt_small.bmp	0.16	1.3128	25	-0.56	0.8206	25	0.4	1.2247	25
44	hariboraspberries.bmp	0.28	1.3077	25	-0.76	0.9695	25	0.2	1.354	25
45	plums.bmp	0.64	1.4399	25	0.36	1.578	25	0.72	1.4295	25
46	lamb_babyfood.bmp	-0.84	1.3128	25	0	1.118	25	-0.52	1.2623	25
47	sprite.bmp	0.12	1.3013	25	-0.52	1.0456	25	0.16	0.9866	25
48	Ruffles.bmp	0.4	1.1902	25	-0.84	1.106	25	0.36	1.186	25
49	pizza.bmp	0.96	1.2741	25	-0.44	1.3868	25	0.92	1.1874	25
50	smorebar.bmp	0.6	1.291	25	-0.44	1.0832	25	0.36	1.2207	25
51	blackberries.bmp	0.88	1.481	25	0.72	1.3699	25	1.08	1.222	25
52	sbdietbar.bmp	0.24	1.3317	25	-0.12	1.3329	25	0.2	1.1902	25
53	tomatosoup.bmp	0.24	1.2	25	-0.32	1.0693	25	0.4	1.0801	25
54	albacore.bmp	0.04	1.5406	25	0.2	1.2583	25	0	1.3844	25
55	smorebrownie.bmp	0.28	1.2083	25	-1.24	0.6633	25	0.52	1.0847	25
56	soymilk.bmp	-0.16	1.3128	25	0.2	1.291	25	-0.16	1.2806	25
57	crackerjacks.bmp	0	1.354	25	-0.52	1.1944	25	0.16	1.2806	25
58	slimfastV.bmp	0	1.2247	25	-0.16	1.1431	25	0	1.118	25
59	odwalla_pomeg.bmp	0.28	1.3392	25	0.56	1.5022	25	0.32	1.4353	25
60	kiwi.bmp	0.36	1.4686	25	0.48	1.5308	25	0.2	1.3844	25
61	laysclassic.bmp	0.2	1.4434	25	-0.72	1.2083	25	0.48	1.2623	25
62	mnmcookie.bmp	0.56	1.2936	25	-1	1.0801	25	0.84	1.2138	25
63	banana.bmp	0.92	1.1518	25	0.8	1.2247	25	0.92	0.9967	25
64	blackberrypie.bmp	0.52	1.2623	25	-1.16	0.6245	25	0.72	1.0614	25
65	babyclams.bmp	-0.32	1.547	25	-0.2	1.2247	25	-0.24	1.5078	25
66	almonds.bmp	0.24	1.2675	25	-0.32	1.0296	25	0.36	1.2871	25
67	avocado.bmp	0.48	1.388	25	0.32	1.314	25	0.48	1.3577	25
68	streusel.bmp	0.4	1.3229	25	-0.76	1.1648	25	0.52	1.1225	25
69	grapenerds.bmp	0	1.291	25	-0.64	1.3503	25	0.08	1.2557	25
70	toast_peanutbutter.bmp	0.48	1.0456	25	-0.52	0.8718	25	0.36	0.9522	25
71	wheatcrisps.bmp	0.16	1.3441	25	-0.12	1.2689	25	0.24	0.9695	25
72	clams.bmp	-0.4	1.5546	25	0.04	1.0198	25	-0.16	1.4048	25
73	hawaiinpunch.bmp	0.2	1.3844	25	-0.64	1.3191	25	0.04	1.2741	25
74	TeddyGrahamsCinnamon.bmp	0.64	1.4107	25	-0.28	1.2423	25	0.8	1.2247	25
75	MrsFields.bmp	0.56	1.121	25	-0.96	0.9781	25	0.76	1.052	25
76	Cheese_PeanutButterCrackers.bmp	0.12	1.3013	25	-0.88	0.9274	25	0.08	1.2884	25
77	carrots.bmp	0.6	1.2583	25	0.68	1.2819	25	0.44	1.121	25
78	tuna.bmp	0.52	1.388	25	0	1	25	0.4	1.3844	25
79	shrimp.bmp	-0.2	1.354	25	0.12	0.8327	25	-0.24	1.2675	25
80	ramen_tomato.bmp	0.16	1.3441	25	-0.76	1.052	25	-0.04	1.3687	25
81	spam_spread.bmp	-0.56	1.3565	25	-0.76	1.2	25	-0.48	1.4468	25
82	cinnamonroll.bmp	0.12	1.3329	25	-0.84	1.2138	25	0.24	1.3	25
83	PopTartsStrawberry.bmp	0.16	1.4911	25	-0.84	1.2477	25	0.28	1.4	25
84	twobitebrownie.bmp	0.36	1.3808	25	-0.8	1.118	25	0.6	1.291	25
85	chocopretzels.bmp	0.56	1.193	25	-0.72	1.0214	25	0.4	1.354	25
86	macncheese.bmp	-0.36	1.3808	25	-0.88	0.9713	25	-0.36	1.2871	25
87	Whatchamacallit.bmp	0.2	1.4434	25	-1	1	25	0.24	1.3	25
88	beet.bmp	-0.32	1.314	25	0.16	1.106	25	-0.2	1.3844	25
89	ritzmix.bmp	-0.08	1.382	25	-0.12	1.2356	25	0.12	1.3329	25
90	jollyrancheryellow.bmp	-0.2	1.4434	25	-0.64	1.1504	25	-0.24	1.4514	25
91	brocollincauliflower.bmp	0.24	1.4514	25	0.56	1.3254	25	0.24	1.2342	25
92	odwallaorange.bmp	0.72	1.3392	25	0.64	1.1504	25	0.64	1.3191	25
93	plumsauce.bmp	-0.16	1.3128	25	0.08	1.077	25	0.16	1.3128	25
94	meringues.bmp	0.56	1.261	25	-0.56	0.9165	25	0.52	1.3577	25
95	reesespieces.bmp	0.44	1.3254	25	-0.84	1.2138	25	0.56	1.3565	25
96	celery.bmp	0.44	1.3565	25	1	1.3229	25	0.24	1.2342	25
97	Reeses.bmp	0.64	1.3503	25	-0.96	0.9781	25	0.88	1.2356	25
98	mixedyogurt.bmp	0.56	1.2936	25	0.24	1.2	25	0.52	1.1225	25
99	HoHo.bmp	0.16	1.2138	25	-1.2	0.9129	25	0.56	1.3868	25
100	grapefruit.bmp	0.48	1.3266	25	0.24	1.2	25	0.6	1.2247	25
101	keeblerfudgestripes.bmp	0.16	1.1431	25	-0.68	1.2152	25	0.44	1.044	25
102	nakedblueberry.bmp	0.44	1.4166	25	0.68	1.0693	25	0.64	1.3503	25
103	sunchips_frenchonion.bmp	0.2	1.472	25	-0.4	1.291	25	-0.04	1.241	25
104	liverpate.bmp	-0.76	1.4224	25	-0.24	1.3928	25	-0.64	1.578	25
105	Dots_one.bmp	0	1.354	25	-0.72	1.2083	25	0.16	1.3748	25
106	vanillapudding.bmp	-0.08	1.2884	25	-0.72	0.9363	25	-0.12	1.3638	25
107	spinach.bmp	-0.44	1.5297	25	0.4	1.3229	25	-0.48	1.388	25
108	haagendaas.bmp	0.76	1.4224	25	-0.76	1.2	25	1.04	1.241	25
109	soysauce.bmp	-0.16	1.4629	25	-0.44	0.8699	25	0.12	1.394	25
110	ramen_chicken.bmp	-0.08	1.4978	25	-0.92	0.9092	25	0.12	1.3329	25
111	PringlesRed.bmp	0.4	1.5275	25	-0.64	0.9522	25	0.48	1.388	25
112	starburst.bmp	-0.08	1.3204	25	-0.96	1.0599	25	-0.08	1.4119	25
113	ffraspsorbet.bmp	0.64	1.3503	25	-0.24	1.1284	25	0.52	1.3266	25
114	SnoBall.bmp	-0.08	1.222	25	-0.72	1.4583	25	0.16	1.3441	25
115	ramen_salsachicken.bmp	0.28	1.3392	25	-0.68	1.1075	25	0.2	1.2583	25
116	cookiencream.bmp	0.52	1.5308	25	-1.12	1.0536	25	0.56	1.3565	25
117	pecanpie.bmp	0.24	1.4224	25	-0.8	1.2247	25	0.36	1.3191	25
118	slimfastC.bmp	-0.4	1.3229	25	-0.2	1.1547	25	-0.04	1.1358	25
119	broccoli.bmp	0.36	1.3503	25	0.8	1.354	25	0.32	1.4059	25
120	Crunch.bmp	0.44	1.2275	25	-0.76	1.3	25	0.24	1.2675	25
121	ramen_cheddar.bmp	-0.36	1.2543	25	-1	0.9574	25	-0.08	1.3204	25
122	maccheese_babyfood.bmp	-0.56	1.5297	25	-0.04	1.0599	25	-0.4	1.4142	25
123	Skittles.bmp	0	1.2247	25	-1	0.7638	25	0.28	1.1372	25
124	lunchables_turkey.bmp	-0.24	1.4224	25	-0.8	0.7071	25	-0.24	1.2	25
