Subject	Trial	Instruction	Food	Liking	Taste	Health	Amount	Choice	ChoiceRT	FirstDevTimeChoice	InitAngleChoice	NumChangeMindChoice	FinalDevTimeChoice	MaxVelocityChoice	DrxFirstDevChoice	TotalAUCChoice	AUCtoNonChosenChoice	AUCtoChosenChoice	MaxDevChoice
107.0000	1.0000	Respond Naturally	TofuDessert	4.0000	3.0000	4.0000	2	-1.0000	1.1762	0.3193	0.1038	0.0000	0.3193	0.1582	-1.0000	0.3375	0.3420	-0.0045	0.7568
107.0000	2.0000	Respond Naturally	Pringles	6.0000	6.0000	1.0000	5	1.0000	0.8909	0.1177	0.3365	0.0000	0.1177	0.1699	1.0000	0.1253	0.1309	-0.0056	0.3953
107.0000	3.0000	Respond Naturally	OatmealSquares	4.0000	4.0000	4.0000	3	-1.0000	1.1933	0.1681	0.2054	1.0000	0.5043	0.0895	1.0000	0.3004	0.3004	-0.0000	0.5486
107.0000	4.0000	Respond Naturally	Starburst	6.0000	5.0000	2.0000	6	1.0000	0.8571	0.3866	-0.0102	0.0000	0.3866	0.2130	1.0000	0.1164	0.1192	-0.0027	0.3432
107.0000	5.0000	Respond Naturally	GreenBeans	3.0000	2.0000	4.0000	4	-1.0000	0.9747	0.3362	0.0960	1.0000	0.5042	0.2433	1.0000	0.4873	0.4873	-0.0000	1.2368
107.0000	6.0000	Respond Naturally	TofuDessert	2.0000	5.0000	4.0000	4	-1.0000	0.9074	0.4369	0.0076	0.0000	0.4369	0.2121	-1.0000	0.3070	0.3070	-0.0000	0.6058
107.0000	7.0000	Respond Naturally	GreenPepper	6.0000	6.0000	6.0000	2	1.0000	1.0588	0.3698	0.0130	1.0000	0.5884	0.3712	-1.0000	0.2602	0.2602	-0.0000	1.2101
107.0000	8.0000	Respond Naturally	Tuna	2.0000	4.0000	5.0000	4	1.0000	1.3609	0.2183	-0.4233	1.0000	0.7393	0.3727	-1.0000	0.5400	0.5400	-0.0000	1.6171
107.0000	9.0000	Respond Naturally	MnMPeanuts	1.0000	1.0000	1.0000	4	-1.0000	1.0254	0.2693	0.0101	1.0000	0.5046	0.4778	1.0000	0.2902	0.3278	-0.0376	0.9103
107.0000	10.0000	Respond Naturally	GreenGrapes	2.0000	5.0000	5.0000	1	1.0000	1.2770	0.3529	-0.0269	1.0000	0.6722	0.3105	-1.0000	0.3423	0.3496	-0.0073	1.1613
107.0000	11.0000	Decrease Desire	Cheetos	6.0000	6.0000	1.0000	3	1.0000	0.9408	0.4199	0.0143	0.0000	0.4199	0.1800	1.0000	0.2244	0.2244	-0.0000	0.3879
107.0000	12.0000	Decrease Desire	BBQCrisps	5.0000	6.0000	1.0000	6	1.0000	1.2937	0.1679	0.2950	0.0000	0.1679	0.1645	1.0000	0.0463	0.0463	-0.0000	0.0886
107.0000	13.0000	Decrease Desire	Celery	4.0000	6.0000	6.0000	4	1.0000	3.0575	1.4280	0.3907	0.0000	1.4280	0.1355	1.0000	0.1270	0.1270	-0.0000	0.3357
107.0000	14.0000	Decrease Desire	Asparagus	3.0000	3.0000	6.0000	6	-1.0000	2.7048	1.3270	0.0650	0.0000	1.3270	0.0734	-1.0000	0.2779	0.2814	-0.0034	0.4373
107.0000	15.0000	Decrease Desire	SevenGrain	4.0000	3.0000	4.0000	1	-1.0000	1.6131	0.3528	-0.1683	0.0000	0.3528	0.1067	-1.0000	0.2992	0.2992	-0.0000	0.4576
107.0000	16.0000	Decrease Desire	ClifBar	1.0000	1.0000	4.0000	2	-1.0000	1.2937	0.6383	-0.2566	0.0000	0.6383	0.1135	-1.0000	0.2087	0.2087	-0.0000	0.3376
107.0000	17.0000	Decrease Desire	AllBranBar	4.0000	4.0000	4.0000	3	-1.0000	2.4525	1.0912	0.2858	0.0000	1.0912	0.1368	-1.0000	0.2877	0.2877	-0.0000	0.3721
107.0000	18.0000	Decrease Desire	CornFlakes	5.0000	4.0000	4.0000	6	-1.0000	1.3777	0.7560	0.4625	0.0000	0.7560	0.1444	-1.0000	0.1434	0.1434	-0.0000	0.2270
107.0000	19.0000	Decrease Desire	Avocado	6.0000	5.0000	5.0000	2	1.0000	2.1511	0.1681	0.1044	1.0000	1.1260	0.0692	-1.0000	0.2886	0.2886	-0.0000	0.5963
107.0000	20.0000	Decrease Desire	PCChipCookie	4.0000	6.0000	2.0000	5	1.0000	1.8817	0.1176	-0.0952	1.0000	0.6554	0.1482	-1.0000	0.1887	0.2025	-0.0138	0.7273
107.0000	21.0000	Decrease Desire	IceCreamChocolate	5.0000	6.0000	1.0000	4	1.0000	2.0161	0.4370	0.3559	0.0000	0.4370	0.1061	1.0000	0.1722	0.1722	-0.0000	0.3823
107.0000	22.0000	Decrease Desire	Mars	4.0000	5.0000	1.0000	4	-1.0000	1.2940	0.1681	0.0737	0.0000	0.1681	0.0845	-1.0000	0.1749	0.1749	-0.0000	0.2564
