Subject	Trial	Instruction	Food	Liking	Taste	Health	Amount	Choice	ChoiceRT	FirstDevTimeChoice	InitAngleChoice	NumChangeMindChoice	FinalDevTimeChoice	MaxVelocityChoice	DrxFirstDevChoice	TotalAUCChoice	AUCtoNonChosenChoice	AUCtoChosenChoice	MaxDevChoice
23.0000	1.0000	Decrease Desire	OatBran	6.0000	1.0000	1.0000	2	-1.0000	1.0247	0.1513	0.7968	0.0000	0.1513	0.1644	-1.0000	0.0026	0.0113	-0.0087	-0.0546
23.0000	2.0000	Decrease Desire	GreenBeans	4.0000	1.0000	6.0000	2	-1.0000	0.8900	0.1511	0.9277	1.0000	0.4869	0.1749	1.0000	-0.0752	0.0002	-0.0753	-0.1590
23.0000	3.0000	Decrease Desire	SkittlesSour	6.0000	6.0000	1.0000	3	1.0000	1.5794	0.8906	-0.8226	0.0000	0.8906	0.2648	1.0000	0.7606	0.7606	-0.0000	1.3484
23.0000	4.0000	Decrease Desire	AllBranBar	2.0000	1.0000	2.0000	3	-1.0000	1.1252	0.6212	0.2332	0.0000	0.6212	0.1282	-1.0000	0.1314	0.1343	-0.0029	0.3263
23.0000	5.0000	Decrease Desire	VegetableThins	1.0000	1.0000	1.0000	5	1.0000	1.5286	0.3358	-0.5725	2.0000	0.6718	0.3223	1.0000	0.2001	0.2578	-0.0577	1.4108
23.0000	6.0000	Decrease Desire	Skittles	6.0000	6.0000	5.0000	6	1.0000	1.4620	0.2184	-0.6505	2.0000	0.7897	0.2406	1.0000	0.3962	0.4247	-0.0285	1.2573
23.0000	7.0000	Decrease Desire	CannedArtichoke	1.0000	1.0000	3.0000	5	-1.0000	1.2093	0.2516	-0.6718	2.0000	0.7052	0.2945	-1.0000	0.7085	0.7167	-0.0082	1.7452
23.0000	8.0000	Decrease Desire	IceCreamChocolate	6.0000	6.0000	1.0000	4	1.0000	1.0919	0.4704	-0.6726	0.0000	0.4704	0.3190	1.0000	0.2919	0.3408	-0.0489	0.7667
23.0000	9.0000	Decrease Desire	FrozenBlueberries	6.0000	6.0000	6.0000	1	1.0000	1.0076	0.2684	0.6539	1.0000	0.5877	0.1403	-1.0000	0.1044	0.1044	-0.0000	0.2291
23.0000	10.0000	Decrease Desire	VanillaGreekYogurt	6.0000	6.0000	6.0000	4	1.0000	0.9909	0.3526	-0.7472	0.0000	0.3526	0.1220	1.0000	0.3081	0.3081	-0.0000	0.6810
23.0000	11.0000	Respond Naturally	Smarties	6.0000	6.0000	3.0000	5	1.0000	1.0584	0.3359	-0.3587	0.0000	0.3359	0.1882	1.0000	0.2605	0.3130	-0.0526	0.7395
