Subject	Trial	TimePt	ChoiceX	ChoiceSignedX	ChoiceY	Drx	Trajectory
81	1	1	-0.0000	0.0000	0.0000	1	-0.0000
81	1	2	-0.0000	0.0000	0.0185	1	-0.0000
81	1	3	-0.0000	0.0000	0.0390	1	-0.0000
81	1	4	-0.0000	0.0000	0.0586	1	-0.0000
81	1	5	-0.0000	0.0000	0.0828	1	-0.0000
81	1	6	-0.0000	0.0000	0.1149	1	0.0171
81	1	7	-0.0000	0.0000	0.1408	1	0.1175
81	1	8	-0.0024	0.0024	0.1644	1	0.0790
81	1	9	-0.0039	0.0039	0.1860	1	0.1138
81	1	10	-0.0065	0.0065	0.2118	1	0.0791
81	1	11	-0.0089	0.0089	0.2423	1	0.0047
81	1	12	-0.0089	0.0089	0.2740	1	0.0045
81	1	13	-0.0089	0.0089	0.3024	1	0.0044
81	1	14	-0.0089	0.0089	0.3251	1	0.0042
81	1	15	-0.0089	0.0089	0.3447	1	0.0041
81	1	16	-0.0089	0.0089	0.3613	1	0.0040
81	1	17	-0.0089	0.0089	0.3780	1	-0.0748
81	1	18	-0.0087	0.0087	0.3977	1	-0.2956
81	1	19	-0.0062	0.0062	0.4052	1	-0.1701
81	1	20	-0.0048	0.0048	0.4126	1	-0.0397
81	1	21	-0.0045	0.0045	0.4175	1	0.0019
81	1	22	-0.0045	0.0045	0.4200	1	0.0019
81	1	23	-0.0045	0.0045	0.4216	1	0.0018
81	1	24	-0.0045	0.0045	0.4239	1	0.0018
81	1	25	-0.0045	0.0045	0.4239	1	0.0018
81	1	26	-0.0045	0.0045	0.4239	1	0.0018
81	1	27	-0.0045	0.0045	0.4239	1	0.0018
81	1	28	-0.0045	0.0045	0.4239	1	0.0018
81	1	29	-0.0045	0.0045	0.4239	1	0.0018
81	1	30	-0.0045	0.0045	0.4239	1	0.0018
81	1	31	-0.0045	0.0045	0.4239	1	0.0018
81	1	32	-0.0045	0.0045	0.4239	1	0.0018
81	1	33	-0.0045	0.0045	0.4239	1	0.0018
81	1	34	-0.0045	0.0045	0.4239	1	0.0018
81	1	35	-0.0045	0.0045	0.4239	1	0.0018
81	1	36	-0.0045	0.0045	0.4239	1	0.0018
81	1	37	-0.0045	0.0045	0.4239	1	0.0018
81	1	38	-0.0045	0.0045	0.4239	1	0.0018
81	1	39	-0.0045	0.0045	0.4239	1	0.0018
81	1	40	-0.0045	0.0045	0.4239	1	0.0018
81	1	41	-0.0045	0.0045	0.4239	1	0.0018
81	1	42	-0.0045	0.0045	0.4239	1	0.0018
81	1	43	-0.0045	0.0045	0.4239	1	0.0018
81	1	44	-0.0045	0.0045	0.4239	1	0.0018
81	1	45	-0.0045	0.0045	0.4239	1	0.0018
81	1	46	-0.0045	0.0045	0.4239	1	0.0018
81	1	47	-0.0045	0.0045	0.4239	1	0.0018
81	1	48	-0.0045	0.0045	0.4239	1	0.0018
81	1	49	-0.0045	0.0045	0.4239	1	0.0018
81	1	50	-0.0045	0.0045	0.4239	1	0.0018
81	1	51	-0.0045	0.0045	0.4239	1	0.0018
81	1	52	-0.0045	0.0045	0.4239	1	0.0018
81	1	53	-0.0045	0.0045	0.4239	1	0.0018
81	1	54	-0.0045	0.0045	0.4239	1	0.0018
81	1	55	-0.0045	0.0045	0.4239	1	0.0018
81	1	56	-0.0045	0.0045	0.4239	1	0.0018
81	1	57	-0.0045	0.0045	0.4239	1	0.0018
81	1	58	-0.0045	0.0045	0.4239	1	-0.1167
81	1	59	-0.0043	0.0043	0.4241	9.090909e-02	-0.5524
81	1	60	-0.0019	0.0019	0.4278	-1	-0.4542
81	1	61	0.0037	-0.0037	0.4388	-1	-0.5632
81	1	62	0.0216	-0.0216	0.4637	-1	-0.6307
81	1	63	0.0530	-0.0530	0.5032	-1	-0.6650
81	1	64	0.0963	-0.0963	0.5537	-1	-0.7313
81	1	65	0.1494	-0.1494	0.6080	-1	-0.8465
81	1	66	0.2159	-0.2159	0.6550	-1	-0.8855
81	1	67	0.2932	-0.2932	0.7030	-1	-0.8929
81	1	68	0.3534	-0.3534	0.7386	-1	-0.8908
81	1	69	0.3953	-0.3953	0.7629	-1	-0.8812
81	1	70	0.4302	-0.4302	0.7832	-1	-0.8701
81	1	71	0.4672	-0.4672	0.8054	-1	-0.8958
81	1	72	0.5113	-0.5113	0.8289	-1	-0.9306
81	1	73	0.5688	-0.5688	0.8552	-1	-0.9302
81	1	74	0.6269	-0.6269	0.8810	-1	-0.9254
81	1	75	0.6792	-0.6792	0.9040	-1	-0.9171
81	1	76	0.7273	-0.7273	0.9245	-1	-0.9001
81	1	77	0.7827	-0.7827	0.9492	-1	-0.9213
81	1	78	0.8323	-0.8323	0.9670	-1	-0.9414
81	1	79	0.8761	-0.8761	0.9798	-1	-0.9790
81	1	80	0.9037	-0.9037	0.9857	-1	-1.0000
81	1	81	0.9166	-0.9166	0.9874	-1	-1.0000
81	1	82	0.9248	-0.9248	0.9897	-1	-1.0000
81	1	83	0.9297	-0.9297	0.9909	-1	-1.0000
81	1	84	0.9335	-0.9335	0.9910	-1	-1.0000
81	1	85	0.9423	-0.9423	0.9910	-1	-1.0000
81	1	86	0.9540	-0.9540	0.9929	-1	-1.0000
81	1	87	0.9653	-0.9653	0.9959	-1	-1.0000
81	1	88	0.9741	-0.9741	0.9971	-1	-1.0000
81	1	89	0.9851	-0.9851	0.9983	-1	-1.0000
81	1	90	0.9941	-0.9941	0.9996	-1	-1.0000
81	1	91	0.9986	-0.9986	1.0000	-1	-1.0000
81	1	92	1.0000	-1.0000	1.0000	-1	-1.0000
81	1	93	1.0000	-1.0000	1.0000	-1	-1.0000
81	1	94	1.0000	-1.0000	1.0000	-1	-1.0000
81	1	95	1.0000	-1.0000	1.0000	-1	-1.0000
81	1	96	1.0000	-1.0000	1.0000	-1	-1.0000
81	1	97	1.0000	-1.0000	1.0000	-1	-1.0000
81	1	98	1.0000	-1.0000	1.0000	-1	-1.0000
81	1	99	1.0000	-1.0000	1.0000	-1	-1.0000
81	1	100	1.0000	-1.0000	1.0000	-1	-1.0000
81	2	1	-0.0000	0.0000	0.0000	1	-0.0000
81	2	2	-0.0000	0.0000	0.0497	1	0.0000
81	2	3	-0.0000	0.0000	0.1023	1	0.0000
81	2	4	-0.0000	0.0000	0.1590	1	0.0000
81	2	5	-0.0000	0.0000	0.2095	1	0.0000
81	2	6	-0.0000	0.0000	0.2533	1	0.0000
81	2	7	-0.0000	0.0000	0.2859	1	0.0000
81	2	8	-0.0000	0.0000	0.3016	1	-0.0000
81	2	9	-0.0000	0.0000	0.3056	1	-0.0000
81	2	10	-0.0000	0.0000	0.3059	1	-0.0000
81	2	11	-0.0000	0.0000	0.3059	1	-0.0000
81	2	12	-0.0000	0.0000	0.3059	1	-0.0000
81	2	13	-0.0000	0.0000	0.3059	1	-0.0000
81	2	14	-0.0000	0.0000	0.3059	1	-0.0000
81	2	15	-0.0000	0.0000	0.3059	1	-0.0000
81	2	16	-0.0000	0.0000	0.3059	1	-0.0000
81	2	17	-0.0000	0.0000	0.3059	1	-0.0000
81	2	18	-0.0000	0.0000	0.3059	1	-0.0000
81	2	19	-0.0000	0.0000	0.3059	1	-0.0000
81	2	20	-0.0000	0.0000	0.3059	1	-0.0000
81	2	21	-0.0000	0.0000	0.3059	1	-0.0000
81	2	22	-0.0000	0.0000	0.3059	1	-0.0000
81	2	23	-0.0000	0.0000	0.3059	1	-0.0000
81	2	24	-0.0000	0.0000	0.3059	1	-0.0000
81	2	25	-0.0000	0.0000	0.3059	1	-0.0000
81	2	26	-0.0000	0.0000	0.3059	1	-0.0000
81	2	27	-0.0000	0.0000	0.3059	1	-0.0000
81	2	28	-0.0000	0.0000	0.3059	1	-0.0000
81	2	29	-0.0000	0.0000	0.3059	1	-0.0000
81	2	30	-0.0000	0.0000	0.3059	1	-0.0000
81	2	31	-0.0000	0.0000	0.3059	1	-0.0000
81	2	32	-0.0000	0.0000	0.3059	1	-0.0000
81	2	33	-0.0000	0.0000	0.3059	1	-0.0000
81	2	34	-0.0000	0.0000	0.3059	1	-0.0000
81	2	35	-0.0000	0.0000	0.3059	1	-0.0000
81	2	36	-0.0000	0.0000	0.3059	1	-0.0000
81	2	37	-0.0000	0.0000	0.3059	1	-0.0000
81	2	38	-0.0000	0.0000	0.3059	1	-0.0000
81	2	39	-0.0000	0.0000	0.3059	1	-0.0000
81	2	40	-0.0000	0.0000	0.3059	1	-0.0000
81	2	41	-0.0000	0.0000	0.3059	1	-0.0000
81	2	42	-0.0000	0.0000	0.3059	1	-0.0000
81	2	43	-0.0000	0.0000	0.3059	1	-0.0000
