xPos,location,stimFile,congruence,yPos,corrAns,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,right,12.1244111061,,,,NavonTask,m,38,59.1268357735,3,2016_Oct_23_2210,05,
200,down_right,bigHsmallS.png,conflicting,-200,s,0,0,0,9,,,,,,,s,1,2.78975701332,NavonTask,m,38,59.1268357735,3,2016_Oct_23_2210,05,
200,up_right,bigSsmallH.png,conflicting,200,h,0,1,1,3,,,,,,,s,0,1.31935501099,NavonTask,m,38,59.1268357735,3,2016_Oct_23_2210,05,
-200,up_left,bigSsmallH.png,conflicting,200,h,0,2,2,7,,,,,,,h,1,1.16970992088,NavonTask,m,38,59.1268357735,3,2016_Oct_23_2210,05,
-200,up_left,bigHsmallS.png,conflicting,200,s,0,3,3,5,,,,,,,h,0,1.05348801613,NavonTask,m,38,59.1268357735,3,2016_Oct_23_2210,05,
200,down_right,bigSsmallS.png,consistent,-200,s,0,4,4,10,,,,,,,h,0,1.20109796524,NavonTask,m,38,59.1268357735,3,2016_Oct_23_2210,05,
-200,up_left,bigSsmallS.png,consistent,200,s,0,5,5,6,,,,,,,h,0,1.31787586212,NavonTask,m,38,59.1268357735,3,2016_Oct_23_2210,05,
-200,up_left,bigHsmallH.png,consistent,200,h,0,6,6,4,,,,,,,h,1,0.902535915375,NavonTask,m,38,59.1268357735,3,2016_Oct_23_2210,05,
200,down_right,bigSsmallH.png,conflicting,-200,h,0,7,7,11,,,,,,,s,0,0.937362909317,NavonTask,m,38,59.1268357735,3,2016_Oct_23_2210,05,
200,up_right,bigSsmallS.png,consistent,200,s,0,8,8,2,,,,,,,s,1,1.03592014313,NavonTask,m,38,59.1268357735,3,2016_Oct_23_2210,05,
-200,down_left,bigSsmallS.png,consistent,-200,s,0,9,9,14,,,,,,,s,1,0.816776037216,NavonTask,m,38,59.1268357735,3,2016_Oct_23_2210,05,
-200,down_left,bigHsmallH.png,consistent,-200,h,0,10,10,12,,,,,,,h,1,1.03649282455,NavonTask,m,38,59.1268357735,3,2016_Oct_23_2210,05,
200,up_right,bigHsmallS.png,conflicting,200,s,0,11,11,1,,,,,,,h,0,1.03626799583,NavonTask,m,38,59.1268357735,3,2016_Oct_23_2210,05,
200,down_right,bigHsmallH.png,consistent,-200,h,0,12,12,8,,,,,,,h,1,1.01718115807,NavonTask,m,38,59.1268357735,3,2016_Oct_23_2210,05,
200,up_right,bigHsmallH.png,consistent,200,h,0,13,13,0,,,,,,,h,1,0.919465065002,NavonTask,m,38,59.1268357735,3,2016_Oct_23_2210,05,
-200,down_left,bigSsmallH.png,conflicting,-200,h,0,14,14,15,,,,,,,s,0,1.57099819183,NavonTask,m,38,59.1268357735,3,2016_Oct_23_2210,05,
-200,down_left,bigHsmallS.png,conflicting,-200,s,0,15,15,13,,,,,,,h,0,0.987397909164,NavonTask,m,38,59.1268357735,3,2016_Oct_23_2210,05,
