text,congruent,corrAns,letterColor,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
red,cong,left,red,0,0,0,1,,,,,left,1,0.500613927841,2016_Oct_21_1712,60.5224698997,stroop,01,01,
green,incong,right,blue,0,1,1,7,,,,,down,0,0.95214509964,2016_Oct_21_1712,60.5224698997,stroop,01,01,
blue,cong,right,blue,0,2,2,10,,,,,right,1,0.867094993591,2016_Oct_21_1712,60.5224698997,stroop,01,01,
blue,incong,down,green,0,3,3,9,,,,,down,1,0.8348300457,2016_Oct_21_1712,60.5224698997,stroop,01,01,
red,incong,down,green,0,4,4,2,,,,,down,1,1.63195204735,2016_Oct_21_1712,60.5224698997,stroop,01,01,
red,cong,left,red,0,5,5,0,,,,,left,1,0.88387799263,2016_Oct_21_1712,60.5224698997,stroop,01,01,
blue,incong,left,red,0,6,6,8,,,,,left,1,0.551003932953,2016_Oct_21_1712,60.5224698997,stroop,01,01,
red,incong,right,blue,0,7,7,3,,,,,right,1,0.43256187439,2016_Oct_21_1712,60.5224698997,stroop,01,01,
green,cong,down,green,0,8,8,5,,,,,down,1,0.38551902771,2016_Oct_21_1712,60.5224698997,stroop,01,01,
green,incong,left,red,0,9,9,4,,,,,left,1,0.317982912064,2016_Oct_21_1712,60.5224698997,stroop,01,01,
blue,cong,right,blue,0,10,10,11,,,,,right,1,0.4351811409,2016_Oct_21_1712,60.5224698997,stroop,01,01,
green,cong,down,green,0,11,11,6,,,,,left,0,0.435194969177,2016_Oct_21_1712,60.5224698997,stroop,01,01,
blue,incong,down,green,,,,,0,0,0,9,down,1,2.18673300743,2016_Oct_21_1712,60.5224698997,stroop,01,01,
green,cong,down,green,,,,,0,1,1,5,down,1,0.602041006088,2016_Oct_21_1712,60.5224698997,stroop,01,01,
blue,cong,right,blue,,,,,0,2,2,10,right,1,1.03507518768,2016_Oct_21_1712,60.5224698997,stroop,01,01,
green,cong,down,green,,,,,0,3,3,6,down,1,0.47633600235,2016_Oct_21_1712,60.5224698997,stroop,01,01,
red,cong,left,red,,,,,0,4,4,1,left,1,0.549850940704,2016_Oct_21_1712,60.5224698997,stroop,01,01,
green,incong,left,red,,,,,0,5,5,4,left,1,0.551874160767,2016_Oct_21_1712,60.5224698997,stroop,01,01,
blue,incong,left,red,,,,,0,6,6,8,left,1,0.467108011246,2016_Oct_21_1712,60.5224698997,stroop,01,01,
green,incong,right,blue,,,,,0,7,7,7,right,1,0.668862819672,2016_Oct_21_1712,60.5224698997,stroop,01,01,
blue,cong,right,blue,,,,,0,8,8,11,right,1,0.467885971069,2016_Oct_21_1712,60.5224698997,stroop,01,01,
red,cong,left,red,,,,,0,9,9,0,left,1,0.435882091522,2016_Oct_21_1712,60.5224698997,stroop,01,01,
red,incong,down,green,,,,,0,10,10,2,down,1,0.486171007156,2016_Oct_21_1712,60.5224698997,stroop,01,01,
red,incong,right,blue,,,,,0,11,11,3,right,1,0.651738882065,2016_Oct_21_1712,60.5224698997,stroop,01,01,
blue,incong,left,red,,,,,1,0,12,8,left,1,0.334846973419,2016_Oct_21_1712,60.5224698997,stroop,01,01,
red,cong,left,red,,,,,1,1,13,0,left,1,0.468792915344,2016_Oct_21_1712,60.5224698997,stroop,01,01,
green,incong,right,blue,,,,,1,2,14,7,right,1,0.384375810623,2016_Oct_21_1712,60.5224698997,stroop,01,01,
red,incong,right,blue,,,,,1,3,15,3,right,1,0.418745040894,2016_Oct_21_1712,60.5224698997,stroop,01,01,
green,cong,down,green,,,,,1,4,16,5,down,1,0.399899959564,2016_Oct_21_1712,60.5224698997,stroop,01,01,
blue,cong,right,blue,,,,,1,5,17,11,left,0,0.383540153503,2016_Oct_21_1712,60.5224698997,stroop,01,01,
green,cong,down,green,,,,,1,6,18,6,down,1,1.00238394737,2016_Oct_21_1712,60.5224698997,stroop,01,01,
blue,incong,down,green,,,,,1,7,19,9,down,1,1.11780786514,2016_Oct_21_1712,60.5224698997,stroop,01,01,
red,incong,down,green,,,,,1,8,20,2,down,1,0.468449831009,2016_Oct_21_1712,60.5224698997,stroop,01,01,
blue,cong,right,blue,,,,,1,9,21,10,right,1,0.668277978897,2016_Oct_21_1712,60.5224698997,stroop,01,01,
